customer_id,customer_name,city,signup_date,acquisition_channel
C00086,Customer_86,London,2025-06-26,Google Ads
C00087,Customer_87,Birmingham,2025-01-17,Referral
C00088,Customer_88,Birmingham,2025-04-08,Organic
C00089,Customer_89,Leeds,2025-07-17,Google Ads
C00090,Customer_90,Manchester,2025-04-08,Google Ads
C00091,Customer_91,London,2025-03-06,Google Ads
C00092,Customer_92,Birmingham,2025-11-26,Instagram
C00093,Customer_93,Birmingham,2025-12-07,Referral
C00094,Customer_94,Manchester,2025-01-05,Organic
C00095,Customer_95,Leeds,2025-01-02,Instagram
C00096,Customer_96,Manchester,2025-01-22,Instagram
C00097,Customer_97,Manchester,2025-04-22,Organic
C00098,Customer_98,Luton,2025-02-26,Organic
C00099,Customer_99,London,2025-03-07,Google Ads
C00100,Customer_100,London,2025-11-26,Organic
C00101,Customer_101,London,2025-04-08,Organic
C00102,Customer_102,Birmingham,2025-05-24,Organic
C00103,Customer_103,London,2026-01-03,Google Ads
C00104,Customer_104,Manchester,2026-03-11,Instagram
C00105,Customer_105,Bristol,2025-05-05,Instagram
C00106,Customer_106,London,2025-06-16,Email
C00107,Customer_107,Luton,2025-03-27,Google Ads
C00108,Customer_108,Birmingham,2025-03-17,Referral
C00109,Customer_109,London,2025-12-10,Referral
C00110,Customer_110,London,2026-02-28,Instagram
C00111,Customer_111,London,2025-10-21,Google Ads
C00112,Customer_112,London,2026-03-20,Referral
C00113,Customer_113,Bristol,2025-02-28,Organic
C00114,Customer_114,Leeds,2025-05-18,Google Ads
C00115,Customer_115,Birmingham,2025-04-09,Google Ads
C00116,Customer_116,Leeds,2025-07-11,Instagram
C00117,Customer_117,Leeds,2025-08-31,Organic
C00118,Customer_118,London,2025-11-15,Email
C00119,Customer_119,Leeds,2025-02-18,Instagram
C00120,Customer_120,Manchester,2026-03-24,Google Ads
C00121,Customer_121,Leeds,2025-02-01,Email
C00122,Customer_122,Leeds,2026-01-26,Google Ads
C00123,Customer_123,London,2025-10-04,Email
C00124,Customer_124,London,2025-01-20,Google Ads
C00125,Customer_125,London,2025-06-03,Organic
C00126,Customer_126,Luton,2026-01-18,Referral
C00127,Customer_127,Leeds,2025-03-09,Instagram
C00128,Customer_128,Leeds,2026-01-01,Referral
C00129,Customer_129,London,2026-01-07,Email
C00130,Customer_130,Manchester,2025-08-02,Referral
C00131,Customer_131,Luton,2025-05-23,Instagram
C00132,Customer_132,London,2026-01-11,Referral
C00133,Customer_133,London,2025-08-20,Instagram
C00134,Customer_134,London,2025-08-01,Google Ads
C00135,Customer_135,Bristol,2025-03-20,Referral
C00136,Customer_136,London,2025-08-02,Organic
C00137,Customer_137,Manchester,2025-04-26,Instagram
C00138,Customer_138,Birmingham,2025-04-02,Referral
C00139,Customer_139,Luton,2025-09-27,Instagram
C00140,Customer_140,Bristol,2026-02-15,Instagram
C00141,Customer_141,Bristol,2026-01-16,Referral
C00142,Customer_142,London,2025-06-17,Google Ads
C00143,Customer_143,Manchester,2025-02-27,Referral
C00144,Customer_144,London,2025-10-11,Organic
C00145,Customer_145,London,2025-01-26,Organic
C00146,Customer_146,London,2026-01-04,Organic
C00147,Customer_147,Manchester,2026-03-23,Google Ads
C00148,Customer_148,Manchester,2025-03-07,Google Ads
C00149,Customer_149,London,2026-02-13,Referral
C00150,Customer_150,London,2025-09-05,Google Ads
C00151,Customer_151,Bristol,2025-09-11,Google Ads
C00152,Customer_152,London,2026-01-22,Organic
C00153,Customer_153,London,2025-02-13,Google Ads
C00154,Customer_154,Manchester,2025-04-07,Instagram
C00155,Customer_155,Bristol,2025-02-11,Organic
C00156,Customer_156,London,2025-08-15,Organic
C00157,Customer_157,Birmingham,2025-09-19,Organic
C00158,Customer_158,Birmingham,2025-06-16,Organic
C00159,Customer_159,London,2026-03-12,Google Ads
C00160,Customer_160,Birmingham,2025-10-06,Organic
C00161,Customer_161,Luton,2025-03-30,Instagram
C00162,Customer_162,Birmingham,2026-01-14,Referral
C00163,Customer_163,Birmingham,2025-06-27,Google Ads
C00164,Customer_164,Manchester,2026-03-03,Email
C00165,Customer_165,London,2026-02-07,Google Ads
C00166,Customer_166,Leeds,2025-07-16,Google Ads
C00167,Customer_167,London,2025-11-03,Email
C00168,Customer_168,London,2025-09-24,Organic
C00169,Customer_169,London,2025-09-25,Email
C00170,Customer_170,Manchester,2025-03-15,Organic
C00171,Customer_171,Birmingham,2025-01-08,Google Ads
C00172,Customer_172,London,2026-02-12,Organic
C00173,Customer_173,Manchester,2025-10-24,Instagram
C00174,Customer_174,London,2025-06-13,Instagram
C00175,Customer_175,Birmingham,2025-03-26,Instagram
C00176,Customer_176,London,2025-03-13,Google Ads
C00177,Customer_177,Birmingham,2025-02-24,Google Ads
C00178,Customer_178,Luton,2026-01-28,Organic
C00179,Customer_179,Bristol,2025-02-16,Google Ads
C00180,Customer_180,London,2026-02-03,Email
C00181,Customer_181,London,2026-03-08,Google Ads
C00182,Customer_182,London,2025-08-26,Referral
C00183,Customer_183,Bristol,2025-04-14,Referral
C00184,Customer_184,Leeds,2025-07-29,Google Ads
C00185,Customer_185,London,2025-02-11,Instagram
C00186,Customer_186,Birmingham,2025-11-12,Organic
C00187,Customer_187,Leeds,2025-09-25,Organic
C00188,Customer_188,Manchester,2026-01-21,Organic
C00189,Customer_189,Manchester,2025-09-20,Instagram
C00190,Customer_190,London,2025-12-02,Google Ads
C00191,Customer_191,London,2026-01-22,Google Ads
C00192,Customer_192,Leeds,2025-12-31,Google Ads
C00193,Customer_193,Bristol,2025-09-16,Google Ads
C00194,Customer_194,Birmingham,2025-10-10,Instagram
C00195,Customer_195,London,2025-04-24,Referral
C00196,Customer_196,London,2025-12-29,Organic
C00197,Customer_197,Birmingham,2025-02-09,Organic
C00198,Customer_198,Leeds,2026-02-21,Instagram
C00199,Customer_199,Leeds,2025-08-08,Google Ads
C00200,Customer_200,Leeds,2025-05-09,Instagram
C00201,Customer_201,Birmingham,2025-01-08,Google Ads
C00202,Customer_202,London,2025-04-11,Google Ads
C00203,Customer_203,London,2026-02-20,Organic
C00204,Customer_204,Leeds,2026-01-15,Organic
C00205,Customer_205,Manchester,2025-06-25,Instagram
C00206,Customer_206,London,2025-04-17,Google Ads
C00207,Customer_207,London,2025-04-11,Referral
C00208,Customer_208,Birmingham,2025-09-17,Referral
C00209,Customer_209,London,2026-01-01,Google Ads
C00210,Customer_210,London,2025-09-03,Referral
C00211,Customer_211,Manchester,2025-10-02,Google Ads
C00212,Customer_212,Birmingham,2025-02-01,Google Ads
C00213,Customer_213,Birmingham,2025-05-17,Instagram
C00214,Customer_214,London,2025-01-12,Google Ads
C00215,Customer_215,Birmingham,2026-01-30,Instagram
C00216,Customer_216,London,2025-10-29,Organic
C00217,Customer_217,London,2026-01-10,Instagram
C00218,Customer_218,Birmingham,2025-01-16,Referral
C00219,Customer_219,Birmingham,2025-05-09,Referral
C00220,Customer_220,Leeds,2025-03-04,Instagram
C00221,Customer_221,Birmingham,2025-04-19,Instagram
C00222,Customer_222,Manchester,2026-01-10,Instagram
C00223,Customer_223,London,2025-01-21,Instagram
C00224,Customer_224,Luton,2025-06-07,Organic
C00225,Customer_225,London,2025-09-26,Google Ads
C00226,Customer_226,London,2025-06-11,Google Ads
C00227,Customer_227,Bristol,2025-09-17,Email
C00228,Customer_228,Luton,2026-02-16,Google Ads
C00229,Customer_229,Leeds,2025-04-12,Google Ads
C00230,Customer_230,Birmingham,2025-08-11,Google Ads
C00231,Customer_231,Leeds,2025-02-28,Instagram
C00232,Customer_232,Manchester,2025-09-04,Instagram
C00233,Customer_233,Manchester,2025-05-08,Organic
C00234,Customer_234,Manchester,2025-10-10,Google Ads
C00235,Customer_235,London,2025-11-21,Referral
C00236,Customer_236,Birmingham,2025-01-25,Google Ads
C00237,Customer_237,London,2025-05-11,Organic
C00238,Customer_238,London,2025-12-19,Instagram
C00239,Customer_239,Birmingham,2025-07-15,Referral
C00240,Customer_240,London,2025-10-08,Organic
C00241,Customer_241,Bristol,2026-02-08,Referral
C00242,Customer_242,Bristol,2026-02-22,Referral
C00243,Customer_243,Bristol,2025-06-03,Google Ads
C00244,Customer_244,Luton,2026-01-17,Email
C00245,Customer_245,London,2025-05-13,Referral
C00246,Customer_246,Bristol,2025-08-15,Referral
C00247,Customer_247,Luton,2025-07-08,Instagram
C00248,Customer_248,Bristol,2025-09-22,Organic
C00249,Customer_249,Bristol,2026-01-07,Organic
C00250,Customer_250,Leeds,2026-03-10,Google Ads
C00251,Customer_251,London,2025-05-14,Organic
C00252,Customer_252,Luton,2025-07-30,Google Ads
C00253,Customer_253,Leeds,2025-03-01,Referral
C00254,Customer_254,London,2026-03-04,Referral
C00255,Customer_255,London,2026-01-12,Instagram
C00256,Customer_256,Manchester,2026-01-30,Referral
C00257,Customer_257,Bristol,2026-03-26,Referral
C00258,Customer_258,Birmingham,2026-03-07,Google Ads
C00259,Customer_259,Manchester,2025-12-30,Organic
C00260,Customer_260,London,2025-12-30,Google Ads
C00261,Customer_261,Manchester,2025-08-01,Instagram
C00262,Customer_262,Bristol,2025-08-04,Google Ads
C00263,Customer_263,London,2025-08-14,Instagram
C00264,Customer_264,Manchester,2025-05-11,Organic
C00265,Customer_265,Leeds,2025-03-17,Instagram
C00266,Customer_266,Birmingham,2025-10-13,Referral
C00267,Customer_267,Birmingham,2025-10-04,Instagram
C00268,Customer_268,Birmingham,2025-06-05,Email
C00269,Customer_269,Luton,2025-09-05,Referral
C00270,Customer_270,London,2025-08-06,Email
C00271,Customer_271,Leeds,2025-07-09,Email
C00272,Customer_272,Leeds,2026-02-21,Referral
C00273,Customer_273,Leeds,2025-06-12,Instagram
C00274,Customer_274,Bristol,2025-06-29,Organic
C00275,Customer_275,Manchester,2025-02-03,Google Ads
C00276,Customer_276,Manchester,2025-02-10,Instagram
C00277,Customer_277,Leeds,2025-11-03,Google Ads
C00278,Customer_278,Birmingham,2026-03-07,Google Ads
C00279,Customer_279,Birmingham,2025-12-04,Email
C00280,Customer_280,Leeds,2025-11-10,Referral
C00281,Customer_281,Leeds,2025-03-16,Referral
C00282,Customer_282,London,2026-03-17,Google Ads
C00283,Customer_283,Luton,2025-10-06,Organic
C00284,Customer_284,London,2025-06-25,Organic
C00285,Customer_285,Manchester,2026-01-19,Google Ads
C00286,Customer_286,London,2025-05-30,Organic
C00287,Customer_287,Manchester,2025-09-30,Organic
C00288,Customer_288,Manchester,2025-11-21,Email
C00289,Customer_289,London,2025-04-18,Instagram
C00290,Customer_290,Manchester,2025-05-19,Google Ads
C00291,Customer_291,London,2025-12-16,Organic
C00292,Customer_292,London,2025-09-28,Google Ads
C00293,Customer_293,Leeds,2025-12-13,Organic
C00294,Customer_294,Luton,2026-02-23,Email
C00295,Customer_295,London,2025-10-16,Google Ads
C00296,Customer_296,Manchester,2025-07-31,Google Ads
C00297,Customer_297,Birmingham,2026-01-16,Google Ads
C00298,Customer_298,London,2025-09-29,Organic
C00299,Customer_299,Birmingham,2026-02-22,Instagram
C00300,Customer_300,London,2025-03-07,Instagram
C00301,Customer_301,London,2026-02-28,Instagram
C00302,Customer_302,Manchester,2025-09-05,Organic
C00303,Customer_303,Manchester,2025-06-05,Instagram
C00304,Customer_304,Birmingham,2025-02-16,Instagram
C00305,Customer_305,Birmingham,2026-02-27,Referral
C00306,Customer_306,Bristol,2025-07-20,Google Ads
C00307,Customer_307,Manchester,2025-05-28,Google Ads
C00308,Customer_308,London,2025-05-04,Instagram
C00309,Customer_309,Leeds,2025-01-01,Instagram
C00310,Customer_310,London,2025-09-04,Google Ads
C00311,Customer_311,Luton,2025-12-09,Google Ads
C00312,Customer_312,London,2025-05-08,Google Ads
C00313,Customer_313,London,2025-07-10,Referral
C00314,Customer_314,Bristol,2025-03-08,Google Ads
C00315,Customer_315,Leeds,2025-01-04,Email
C00316,Customer_316,Birmingham,2026-03-18,Google Ads
C00317,Customer_317,Luton,2026-02-13,Email
C00318,Customer_318,London,2025-10-30,Referral
C00319,Customer_319,London,2025-10-21,Google Ads
C00320,Customer_320,London,2025-05-23,Referral
C00321,Customer_321,Manchester,2025-07-10,Organic
C00322,Customer_322,Birmingham,2025-01-21,Email
C00323,Customer_323,Birmingham,2025-08-15,Instagram
C00324,Customer_324,London,2025-11-09,Organic
C00325,Customer_325,Bristol,2025-04-27,Instagram
C00326,Customer_326,Birmingham,2026-03-13,Email
C00327,Customer_327,Manchester,2025-10-29,Organic
C00328,Customer_328,Manchester,2025-05-22,Instagram
C00329,Customer_329,Luton,2026-02-05,Instagram
C00330,Customer_330,London,2025-02-08,Referral
C00331,Customer_331,Luton,2026-01-28,Google Ads
C00332,Customer_332,Birmingham,2025-12-21,Organic
C00333,Customer_333,London,2025-09-09,Organic
C00334,Customer_334,London,2025-11-29,Instagram
C00335,Customer_335,London,2025-07-26,Google Ads
C00336,Customer_336,London,2025-07-29,Email
C00337,Customer_337,Leeds,2025-04-25,Organic
C00338,Customer_338,Birmingham,2025-08-13,Instagram
C00339,Customer_339,Manchester,2025-05-14,Organic
C00340,Customer_340,London,2025-09-08,Organic
C00341,Customer_341,Manchester,2025-08-07,Google Ads
C00342,Customer_342,Manchester,2026-02-11,Google Ads
C00343,Customer_343,London,2026-03-19,Instagram
C00344,Customer_344,Luton,2025-04-01,Email
C00345,Customer_345,Luton,2025-12-20,Instagram
C00346,Customer_346,Manchester,2026-01-11,Email
C00347,Customer_347,Birmingham,2025-02-15,Referral
C00348,Customer_348,London,2025-02-07,Instagram
C00349,Customer_349,Luton,2025-05-22,Referral
C00350,Customer_350,Birmingham,2025-04-10,Instagram
C00351,Customer_351,Manchester,2025-11-24,Organic
C00352,Customer_352,Leeds,2025-07-09,Instagram
C00353,Customer_353,Birmingham,2025-02-04,Organic
C00354,Customer_354,London,2025-05-27,Instagram
C00355,Customer_355,London,2025-01-30,Instagram
C00356,Customer_356,Birmingham,2025-11-30,Organic
C00357,Customer_357,London,2025-03-25,Organic
C00358,Customer_358,Manchester,2026-01-04,Email
C00359,Customer_359,Bristol,2025-10-08,Instagram
C00360,Customer_360,Manchester,2026-02-28,Organic
C00361,Customer_361,Luton,2025-12-10,Instagram
C00362,Customer_362,Birmingham,2025-09-27,Instagram
C00363,Customer_363,Manchester,2025-06-03,Google Ads
C00364,Customer_364,Manchester,2025-04-12,Email
C00365,Customer_365,Bristol,2025-08-03,Instagram
C00366,Customer_366,Luton,2025-05-30,Google Ads
C00367,Customer_367,Bristol,2026-03-08,Referral
C00368,Customer_368,Bristol,2025-03-24,Referral
C00369,Customer_369,London,2025-04-20,Organic
C00370,Customer_370,London,2026-03-11,Organic
C00371,Customer_371,London,2026-01-22,Organic
C00372,Customer_372,London,2026-03-02,Instagram
C00373,Customer_373,London,2025-10-02,Instagram
C00374,Customer_374,Birmingham,2025-07-20,Instagram
C00375,Customer_375,London,2025-10-11,Email
C00376,Customer_376,London,2025-06-22,Referral
C00377,Customer_377,Leeds,2025-11-23,Organic
C00378,Customer_378,London,2025-07-25,Google Ads
C00379,Customer_379,Leeds,2025-03-04,Google Ads
C00380,Customer_380,London,2025-03-14,Google Ads
C00381,Customer_381,London,2025-09-08,Instagram
C00382,Customer_382,Birmingham,2025-05-04,Referral
C00383,Customer_383,Birmingham,2026-01-10,Google Ads
C00384,Customer_384,Leeds,2025-05-01,Instagram
C00385,Customer_385,Birmingham,2025-10-02,Referral
C00386,Customer_386,Leeds,2026-03-07,Google Ads
C00387,Customer_387,London,2026-02-02,Organic
C00388,Customer_388,London,2025-04-30,Google Ads
C00389,Customer_389,Birmingham,2026-02-26,Organic
C00390,Customer_390,Leeds,2026-03-13,Email
C00391,Customer_391,Bristol,2025-11-13,Organic
C00392,Customer_392,Luton,2025-06-13,Google Ads
C00393,Customer_393,Luton,2026-02-28,Google Ads
C00394,Customer_394,Leeds,2025-10-13,Email
C00395,Customer_395,London,2025-09-22,Organic
C00396,Customer_396,Bristol,2025-11-16,Organic
C00397,Customer_397,Leeds,2025-06-10,Organic
C00398,Customer_398,Luton,2026-01-11,Organic
C00399,Customer_399,Birmingham,2025-11-04,Organic
C00400,Customer_400,Birmingham,2025-03-30,Instagram
C00401,Customer_401,London,2025-05-22,Organic
C00402,Customer_402,Bristol,2025-07-22,Organic
C00403,Customer_403,Manchester,2025-11-05,Referral
C00404,Customer_404,Leeds,2025-08-15,Google Ads
C00405,Customer_405,London,2026-03-19,Google Ads
C00406,Customer_406,Leeds,2025-11-30,Google Ads
C00407,Customer_407,Luton,2025-08-10,Email
C00408,Customer_408,London,2025-02-10,Organic
C00409,Customer_409,Bristol,2025-07-15,Referral
C00410,Customer_410,London,2025-03-09,Referral
C00411,Customer_411,London,2025-09-21,Organic
C00412,Customer_412,Bristol,2025-01-02,Email
C00413,Customer_413,Bristol,2025-12-27,Organic
C00414,Customer_414,Manchester,2025-05-05,Organic
C00415,Customer_415,Birmingham,2025-04-20,Referral
C00416,Customer_416,Luton,2025-03-27,Instagram
C00417,Customer_417,London,2026-03-01,Instagram
C00418,Customer_418,London,2025-04-30,Organic
C00419,Customer_419,Birmingham,2025-05-07,Google Ads
C00420,Customer_420,Birmingham,2025-09-12,Referral
C00421,Customer_421,Leeds,2025-07-02,Google Ads
C00422,Customer_422,Leeds,2025-01-16,Google Ads
C00423,Customer_423,London,2025-03-03,Organic
C00424,Customer_424,Manchester,2026-01-04,Organic
C00425,Customer_425,London,2026-03-08,Referral
C00426,Customer_426,Manchester,2025-06-07,Google Ads
C00427,Customer_427,Luton,2025-09-25,Email
C00428,Customer_428,Leeds,2025-02-04,Google Ads
C00429,Customer_429,Luton,2025-09-24,Instagram
C00430,Customer_430,London,2025-03-05,Organic
C00431,Customer_431,London,2025-02-19,Google Ads
C00432,Customer_432,Birmingham,2025-09-12,Organic
C00433,Customer_433,Manchester,2025-05-29,Google Ads
C00434,Customer_434,London,2025-11-21,Google Ads
C00435,Customer_435,London,2025-10-31,Email
C00436,Customer_436,Birmingham,2025-10-03,Instagram
C00437,Customer_437,London,2025-12-23,Organic
C00438,Customer_438,Leeds,2025-06-21,Organic
C00439,Customer_439,Birmingham,2026-02-21,Organic
C00440,Customer_440,London,2025-07-20,Instagram
C00441,Customer_441,London,2026-03-21,Referral
C00442,Customer_442,Bristol,2026-01-28,Email
C00443,Customer_443,Luton,2025-11-20,Organic
C00444,Customer_444,Luton,2025-02-04,Google Ads
C00445,Customer_445,Leeds,2025-08-04,Google Ads
C00446,Customer_446,Bristol,2025-03-06,Instagram
C00447,Customer_447,Bristol,2025-01-08,Instagram
C00448,Customer_448,Birmingham,2025-10-28,Instagram
C00449,Customer_449,Luton,2025-12-09,Instagram
C00450,Customer_450,London,2026-03-07,Organic
C00451,Customer_451,Leeds,2026-02-28,Referral
C00452,Customer_452,Manchester,2025-11-28,Organic
C00453,Customer_453,Luton,2026-03-14,Instagram
C00454,Customer_454,Bristol,2025-03-17,Google Ads
C00455,Customer_455,London,2025-06-23,Google Ads
C00456,Customer_456,Manchester,2025-02-16,Email
C00457,Customer_457,London,2025-01-15,Referral
C00458,Customer_458,Manchester,2025-12-27,Referral
C00459,Customer_459,London,2025-05-27,Google Ads
C00460,Customer_460,London,2025-01-26,Instagram
C00461,Customer_461,London,2025-11-04,Google Ads
C00462,Customer_462,Birmingham,2025-04-03,Referral
C00463,Customer_463,Birmingham,2026-02-10,Google Ads
C00464,Customer_464,Manchester,2025-08-20,Email
C00465,Customer_465,Bristol,2025-01-21,Email
C00466,Customer_466,Luton,2025-11-03,Instagram
C00467,Customer_467,London,2025-02-07,Organic
C00468,Customer_468,Leeds,2025-10-03,Organic
C00469,Customer_469,London,2025-06-06,Referral
C00470,Customer_470,Bristol,2025-06-28,Organic
C00471,Customer_471,London,2025-05-12,Referral
C00472,Customer_472,Bristol,2025-11-07,Google Ads
C00473,Customer_473,London,2025-12-14,Google Ads
C00474,Customer_474,Leeds,2025-01-28,Email
C00475,Customer_475,Manchester,2025-09-17,Instagram
C00476,Customer_476,Bristol,2026-02-10,Instagram
C00477,Customer_477,London,2025-03-17,Instagram
C00478,Customer_478,Manchester,2026-03-05,Google Ads
C00479,Customer_479,Bristol,2025-03-08,Referral
C00480,Customer_480,Manchester,2025-12-08,Organic
C00481,Customer_481,Birmingham,2025-07-13,Email
C00482,Customer_482,Birmingham,2025-06-11,Referral
C00483,Customer_483,Manchester,2025-12-13,Google Ads
C00484,Customer_484,Birmingham,2026-03-15,Instagram
C00485,Customer_485,Manchester,2025-12-27,Instagram
C00486,Customer_486,Bristol,2025-09-14,Google Ads
C00487,Customer_487,London,2025-03-13,Email
C00488,Customer_488,London,2025-03-28,Organic
C00489,Customer_489,Bristol,2026-02-26,Organic
C00490,Customer_490,Leeds,2025-09-19,Google Ads
C00491,Customer_491,Manchester,2025-08-02,Google Ads
C00492,Customer_492,Birmingham,2025-06-02,Instagram
C00493,Customer_493,London,2025-07-29,Referral
C00494,Customer_494,London,2026-02-05,Instagram
C00495,Customer_495,Manchester,2025-03-02,Instagram
C00496,Customer_496,Luton,2025-09-25,Organic
C00497,Customer_497,Manchester,2025-09-19,Google Ads
C00498,Customer_498,London,2025-08-06,Organic
C00499,Customer_499,Bristol,2025-10-10,Organic
C00500,Customer_500,Bristol,2025-05-16,Instagram
C00501,Customer_501,Birmingham,2026-01-15,Organic
C00502,Customer_502,Manchester,2025-12-28,Organic
C00503,Customer_503,London,2026-03-25,Organic
C00504,Customer_504,Leeds,2026-03-17,Email
C00505,Customer_505,Birmingham,2025-04-03,Email
C00506,Customer_506,London,2025-04-19,Instagram
C00507,Customer_507,Bristol,2025-08-29,Email
C00508,Customer_508,Leeds,2025-12-21,Referral
C00509,Customer_509,Bristol,2026-02-28,Instagram
C00510,Customer_510,Birmingham,2025-05-22,Organic
C00511,Customer_511,Manchester,2025-10-18,Referral
C00512,Customer_512,Luton,2026-03-08,Instagram
C00513,Customer_513,Bristol,2025-08-25,Instagram
C00514,Customer_514,Leeds,2025-12-06,Referral
C00515,Customer_515,London,2025-11-08,Google Ads
C00516,Customer_516,London,2025-06-26,Instagram
C00517,Customer_517,Luton,2025-05-21,Email
C00518,Customer_518,Leeds,2025-07-08,Google Ads
C00519,Customer_519,Bristol,2025-02-18,Instagram
C00520,Customer_520,London,2025-10-29,Google Ads
C00521,Customer_521,Manchester,2026-01-04,Instagram
C00522,Customer_522,Luton,2025-07-09,Referral
C00523,Customer_523,Bristol,2025-05-16,Organic
C00524,Customer_524,Leeds,2025-02-12,Instagram
C00525,Customer_525,Leeds,2026-02-08,Organic
C00526,Customer_526,Manchester,2026-01-15,Instagram
C00527,Customer_527,Luton,2025-12-19,Google Ads
C00528,Customer_528,London,2025-03-31,Referral
C00529,Customer_529,London,2025-10-22,Organic
C00530,Customer_530,Leeds,2025-12-07,Instagram
C00531,Customer_531,Leeds,2025-09-02,Organic
C00532,Customer_532,Bristol,2026-03-09,Referral
C00533,Customer_533,Bristol,2025-07-11,Email
C00534,Customer_534,Manchester,2025-11-14,Email
C00535,Customer_535,Birmingham,2025-04-16,Referral
C00536,Customer_536,Bristol,2025-12-29,Referral
C00537,Customer_537,Leeds,2025-11-06,Organic
C00538,Customer_538,London,2026-01-17,Google Ads
C00539,Customer_539,Manchester,2025-08-21,Google Ads
C00540,Customer_540,London,2025-09-22,Referral
C00541,Customer_541,Bristol,2025-12-10,Email
C00542,Customer_542,Manchester,2025-02-06,Organic
C00543,Customer_543,London,2025-11-01,Email
