payment_id,order_id,payment_method,payment_amount,payment_status
PAY000049,O000049,PayPal,111.84,Paid
PAY000050,O000050,Apple Pay,96.84,Failed
PAY000051,O000051,PayPal,218.09,Paid
PAY000052,O000052,Apple Pay,716.8,Paid
PAY000053,O000053,PayPal,1301.25,Paid
PAY000054,O000054,Card,91.65,Paid
PAY000055,O000055,Card,952.28,Paid
PAY000056,O000056,PayPal,346.78,Paid
PAY000057,O000057,Card,314.94,Paid
PAY000058,O000058,Card,288.69,Paid
PAY000059,O000059,Google Pay,71.79,Paid
PAY000060,O000060,Apple Pay,509.09,Paid
PAY000061,O000061,PayPal,631.27,Paid
PAY000062,O000062,Card,695.23,Paid
PAY000063,O000063,Apple Pay,670.4,Paid
PAY000064,O000064,Apple Pay,45.11,Paid
PAY000065,O000065,Card,428.93,Paid
PAY000066,O000066,Card,215.8,Paid
PAY000067,O000067,Apple Pay,502.84,Paid
PAY000068,O000068,Apple Pay,539.33,Paid
PAY000069,O000069,Card,716.84,Paid
PAY000070,O000070,Card,927.34,Paid
PAY000071,O000071,PayPal,502.88,Paid
PAY000072,O000072,PayPal,72.55,Paid
PAY000073,O000073,Card,721.98,Paid
PAY000074,O000074,Google Pay,395.57,Paid
PAY000075,O000075,Card,1849.48,Paid
PAY000076,O000076,Card,718.57,Failed
PAY000077,O000077,Card,565.02,Paid
PAY000078,O000078,Card,175.76,Failed
PAY000079,O000079,Apple Pay,956.14,Paid
PAY000080,O000080,Apple Pay,762.27,Failed
PAY000081,O000081,Google Pay,193.85,Paid
PAY000082,O000082,PayPal,2293.03,Paid
PAY000083,O000083,Card,307.71,Paid
PAY000084,O000084,Card,687.79,Paid
PAY000085,O000085,Apple Pay,1885.9,Paid
PAY000086,O000086,Card,1609.6,Paid
PAY000087,O000087,Card,477.48,Failed
PAY000088,O000088,Card,653.76,Paid
PAY000089,O000089,Card,64.55,Paid
PAY000090,O000090,Card,342.2,Paid
PAY000091,O000091,Card,730.92,Paid
PAY000092,O000092,Google Pay,330.99,Paid
PAY000093,O000093,Apple Pay,1729.36,Paid
PAY000094,O000094,Google Pay,15.53,Paid
PAY000095,O000095,PayPal,228.46,Paid
PAY000096,O000096,PayPal,81.61,Paid
PAY000097,O000097,Apple Pay,220.07,Paid
PAY000098,O000098,PayPal,15.65,Paid
PAY000099,O000099,Apple Pay,544.35,Paid
PAY000100,O000100,PayPal,1397.4,Paid
PAY000101,O000101,PayPal,761.04,Paid
PAY000102,O000102,Apple Pay,273.76,Failed
PAY000103,O000103,Card,101.85,Paid
PAY000104,O000104,Card,373.32,Paid
PAY000105,O000105,Card,253.65,Paid
PAY000106,O000106,PayPal,560.57,Paid
PAY000107,O000107,Card,682.61,Paid
PAY000108,O000108,PayPal,459.15,Paid
PAY000109,O000109,Apple Pay,5.68,Paid
PAY000110,O000110,PayPal,1446.3,Paid
PAY000111,O000111,Card,793.74,Paid
PAY000112,O000112,Apple Pay,259.96,Paid
PAY000113,O000113,Google Pay,52.44,Paid
PAY000114,O000114,Card,246.82,Paid
PAY000115,O000115,PayPal,2296.64,Paid
PAY000116,O000116,Google Pay,394.04,Paid
PAY000117,O000117,PayPal,560.5,Paid
PAY000118,O000118,Google Pay,137.47,Paid
PAY000119,O000119,PayPal,518.0,Paid
PAY000120,O000120,Google Pay,548.06,Paid
PAY000121,O000121,Card,1729.87,Paid
PAY000122,O000122,Card,183.56,Paid
PAY000123,O000123,Card,297.27,Paid
PAY000124,O000124,Apple Pay,37.97,Paid
PAY000125,O000125,Google Pay,488.84,Paid
PAY000126,O000126,Card,238.64,Paid
PAY000127,O000127,PayPal,2449.92,Paid
PAY000128,O000128,Google Pay,223.65,Paid
PAY000129,O000129,Card,286.13,Paid
PAY000130,O000130,PayPal,336.23,Paid
PAY000131,O000131,PayPal,308.43,Paid
PAY000132,O000132,Apple Pay,923.39,Paid
PAY000133,O000133,Card,26.81,Paid
PAY000134,O000134,PayPal,432.25,Paid
PAY000135,O000135,PayPal,460.08,Failed
PAY000136,O000136,PayPal,105.86,Paid
PAY000137,O000137,PayPal,876.54,Paid
PAY000138,O000138,Google Pay,1310.42,Paid
PAY000139,O000139,PayPal,778.36,Paid
PAY000140,O000140,Google Pay,1625.19,Failed
PAY000141,O000141,Card,278.57,Paid
PAY000142,O000142,Card,1978.8,Paid
PAY000143,O000143,PayPal,167.68,Paid
PAY000144,O000144,Google Pay,981.88,Paid
PAY000145,O000145,Card,1055.65,Paid
PAY000146,O000146,Card,150.83,Paid
PAY000147,O000147,Card,14.46,Paid
PAY000148,O000148,Apple Pay,46.19,Paid
PAY000149,O000149,Card,998.66,Paid
PAY000150,O000150,Card,1239.62,Paid
PAY000151,O000151,Card,442.26,Paid
PAY000152,O000152,Card,352.05,Paid
PAY000153,O000153,Card,756.68,Paid
PAY000154,O000154,Card,1066.79,Paid
PAY000155,O000155,Card,128.09,Paid
PAY000156,O000156,Card,148.43,Refunded
PAY000157,O000157,Google Pay,129.96,Paid
PAY000158,O000158,Google Pay,977.57,Paid
PAY000159,O000159,Card,596.78,Paid
PAY000160,O000160,Card,399.16,Failed
PAY000161,O000161,PayPal,862.48,Paid
PAY000162,O000162,Google Pay,733.57,Paid
PAY000163,O000163,Apple Pay,441.17,Paid
PAY000164,O000164,Card,83.84,Failed
PAY000165,O000165,Google Pay,62.53,Paid
PAY000166,O000166,Card,30.86,Paid
PAY000167,O000167,Card,1328.08,Paid
PAY000168,O000168,Card,372.51,Paid
PAY000169,O000169,Apple Pay,652.52,Paid
PAY000170,O000170,Card,805.94,Paid
PAY000171,O000171,Card,656.98,Paid
PAY000172,O000172,Card,66.54,Paid
PAY000173,O000173,PayPal,741.35,Refunded
PAY000174,O000174,Card,337.4,Paid
PAY000175,O000175,Apple Pay,1380.59,Paid
PAY000176,O000176,Apple Pay,206.95,Paid
PAY000177,O000177,PayPal,650.67,Paid
PAY000178,O000178,Card,827.28,Failed
PAY000179,O000179,Google Pay,918.31,Paid
PAY000180,O000180,Card,522.28,Failed
PAY000181,O000181,Card,737.68,Failed
PAY000182,O000182,Card,140.06,Paid
PAY000183,O000183,Card,1756.24,Paid
PAY000184,O000184,Card,471.38,Failed
PAY000185,O000185,PayPal,149.29,Paid
PAY000186,O000186,Card,154.69,Paid
PAY000187,O000187,Card,321.6,Paid
PAY000188,O000188,Card,752.53,Paid
PAY000189,O000189,Card,329.28,Paid
PAY000190,O000190,Card,603.85,Paid
PAY000191,O000191,Card,621.19,Paid
PAY000192,O000192,Card,779.54,Paid
PAY000193,O000193,Card,842.36,Paid
PAY000194,O000194,Card,1053.09,Paid
PAY000195,O000195,PayPal,168.14,Paid
PAY000196,O000196,Google Pay,935.47,Paid
PAY000197,O000197,Card,27.7,Paid
PAY000198,O000198,PayPal,278.69,Paid
PAY000199,O000199,Apple Pay,167.46,Paid
PAY000200,O000200,Apple Pay,1721.32,Paid
PAY000201,O000201,PayPal,655.6,Paid
PAY000202,O000202,Google Pay,316.3,Paid
PAY000203,O000203,Card,1054.06,Paid
PAY000204,O000204,PayPal,646.74,Paid
PAY000205,O000205,Google Pay,106.94,Paid
PAY000206,O000206,Card,497.06,Paid
PAY000207,O000207,Apple Pay,1175.23,Paid
PAY000208,O000208,PayPal,345.24,Paid
PAY000209,O000209,Card,514.12,Paid
PAY000210,O000210,PayPal,1969.54,Failed
PAY000211,O000211,Google Pay,717.84,Paid
PAY000212,O000212,Card,596.67,Paid
PAY000213,O000213,Card,634.31,Paid
PAY000214,O000214,Card,2420.47,Paid
PAY000215,O000215,Card,1544.57,Failed
PAY000216,O000216,Apple Pay,5.65,Paid
PAY000217,O000217,Google Pay,1021.24,Paid
PAY000218,O000218,Apple Pay,684.6,Paid
PAY000219,O000219,PayPal,237.61,Paid
PAY000220,O000220,Apple Pay,2293.18,Paid
PAY000221,O000221,Card,216.86,Paid
PAY000222,O000222,Card,975.71,Paid
PAY000223,O000223,Card,542.74,Paid
PAY000224,O000224,Apple Pay,764.1,Paid
PAY000225,O000225,PayPal,519.45,Paid
PAY000226,O000226,Card,247.81,Paid
PAY000227,O000227,Google Pay,978.0,Paid
PAY000228,O000228,PayPal,35.86,Paid
PAY000229,O000229,Apple Pay,1976.18,Paid
PAY000230,O000230,Apple Pay,886.12,Failed
PAY000231,O000231,Apple Pay,159.82,Paid
PAY000232,O000232,Card,507.06,Paid
PAY000233,O000233,Card,670.29,Paid
PAY000234,O000234,Card,722.02,Paid
PAY000235,O000235,Apple Pay,386.95,Paid
PAY000236,O000236,Google Pay,43.41,Paid
PAY000237,O000237,Apple Pay,313.97,Paid
PAY000238,O000238,Card,273.36,Paid
PAY000239,O000239,Card,419.75,Paid
PAY000240,O000240,Card,395.95,Paid
PAY000241,O000241,PayPal,1609.41,Paid
PAY000242,O000242,PayPal,2443.37,Paid
PAY000243,O000243,Apple Pay,257.0,Refunded
PAY000244,O000244,Google Pay,64.19,Paid
PAY000245,O000245,Apple Pay,154.81,Paid
PAY000246,O000246,Card,741.42,Paid
PAY000247,O000247,Card,982.18,Paid
PAY000248,O000248,Apple Pay,308.71,Paid
PAY000249,O000249,Card,1791.16,Paid
PAY000250,O000250,Card,117.71,Paid
PAY000251,O000251,Card,527.13,Failed
PAY000252,O000252,Card,440.64,Paid
PAY000253,O000253,PayPal,193.12,Paid
PAY000254,O000254,PayPal,555.96,Paid
PAY000255,O000255,Apple Pay,201.08,Paid
PAY000256,O000256,Apple Pay,1486.19,Paid
PAY000257,O000257,Google Pay,2083.25,Paid
PAY000258,O000258,Apple Pay,727.84,Refunded
PAY000259,O000259,Apple Pay,205.49,Paid
PAY000260,O000260,Card,620.81,Refunded
PAY000261,O000261,Card,1778.5,Paid
PAY000262,O000262,Card,635.55,Paid
PAY000263,O000263,Card,736.61,Refunded
PAY000264,O000264,Card,493.8,Paid
PAY000265,O000265,Card,1120.83,Paid
PAY000266,O000266,Card,232.48,Paid
PAY000267,O000267,Google Pay,841.98,Paid
PAY000268,O000268,Card,842.48,Paid
PAY000269,O000269,PayPal,535.22,Paid
PAY000270,O000270,Card,39.72,Paid
PAY000271,O000271,Google Pay,271.54,Paid
PAY000272,O000272,PayPal,1122.23,Paid
PAY000273,O000273,Apple Pay,861.01,Paid
PAY000274,O000274,PayPal,933.63,Paid
PAY000275,O000275,Apple Pay,198.98,Paid
PAY000276,O000276,Apple Pay,570.06,Paid
PAY000277,O000277,PayPal,78.91,Failed
PAY000278,O000278,Apple Pay,105.44,Paid
PAY000279,O000279,PayPal,210.49,Paid
PAY000280,O000280,Apple Pay,33.89,Paid
PAY000281,O000281,PayPal,270.22,Paid
PAY000282,O000282,Card,455.24,Paid
PAY000283,O000283,Card,1168.37,Paid
PAY000284,O000284,Card,56.19,Paid
PAY000285,O000285,Card,1599.17,Paid
PAY000286,O000286,Apple Pay,17.43,Paid
PAY000287,O000287,PayPal,294.29,Paid
PAY000288,O000288,Card,1235.93,Paid
PAY000289,O000289,Card,661.05,Paid
PAY000290,O000290,Google Pay,931.08,Paid
PAY000291,O000291,Google Pay,229.1,Failed
PAY000292,O000292,Card,32.29,Paid
PAY000293,O000293,Google Pay,152.85,Paid
PAY000294,O000294,Card,277.3,Paid
PAY000295,O000295,Card,104.34,Paid
PAY000296,O000296,Card,232.02,Paid
PAY000297,O000297,PayPal,1806.72,Paid
PAY000298,O000298,PayPal,96.32,Paid
PAY000299,O000299,Card,203.56,Paid
PAY000300,O000300,Card,569.12,Paid
PAY000301,O000301,Google Pay,16.01,Paid
PAY000302,O000302,Card,1779.92,Paid
PAY000303,O000303,PayPal,313.1,Paid
PAY000304,O000304,PayPal,1036.2,Paid
PAY000305,O000305,Apple Pay,731.79,Paid
PAY000306,O000306,PayPal,364.74,Paid
PAY000307,O000307,Card,1794.21,Paid
PAY000308,O000308,Card,155.89,Paid
PAY000309,O000309,PayPal,230.14,Paid
PAY000310,O000310,PayPal,1115.36,Paid
PAY000311,O000311,PayPal,529.12,Paid
PAY000312,O000312,Google Pay,136.12,Paid
PAY000313,O000313,PayPal,70.42,Paid
PAY000314,O000314,Card,1138.76,Paid
PAY000315,O000315,Google Pay,863.68,Paid
PAY000316,O000316,Card,133.76,Paid
PAY000317,O000317,Card,771.91,Paid
PAY000318,O000318,Apple Pay,52.04,Paid
PAY000319,O000319,Google Pay,149.22,Paid
PAY000320,O000320,Apple Pay,236.84,Paid
PAY000321,O000321,PayPal,832.24,Paid
PAY000322,O000322,Card,734.02,Paid
PAY000323,O000323,Apple Pay,99.19,Paid
PAY000324,O000324,Apple Pay,1630.28,Paid
PAY000325,O000325,Card,52.04,Paid
PAY000326,O000326,Card,607.36,Paid
PAY000327,O000327,Card,2943.32,Paid
PAY000328,O000328,PayPal,601.34,Paid
PAY000329,O000329,Apple Pay,292.97,Paid
PAY000330,O000330,PayPal,1825.31,Paid
PAY000331,O000331,Card,528.34,Paid
PAY000332,O000332,Card,162.08,Paid
PAY000333,O000333,PayPal,884.44,Paid
PAY000334,O000334,Card,525.34,Paid
PAY000335,O000335,Google Pay,1089.97,Paid
PAY000336,O000336,PayPal,461.22,Paid
PAY000337,O000337,Apple Pay,537.24,Paid
PAY000338,O000338,Card,502.23,Paid
PAY000339,O000339,PayPal,576.55,Paid
PAY000340,O000340,Card,488.63,Paid
PAY000341,O000341,Apple Pay,133.45,Paid
PAY000342,O000342,Google Pay,860.89,Paid
PAY000343,O000343,Apple Pay,1718.96,Paid
PAY000344,O000344,Card,667.82,Paid
PAY000345,O000345,Card,27.56,Paid
PAY000346,O000346,Card,397.7,Failed
PAY000347,O000347,Card,598.1,Paid
PAY000348,O000348,Apple Pay,682.61,Paid
PAY000349,O000349,Card,696.47,Paid
PAY000350,O000350,PayPal,391.09,Paid
PAY000351,O000351,Apple Pay,761.78,Paid
PAY000352,O000352,Card,2213.83,Paid
PAY000353,O000353,Apple Pay,2594.48,Paid
PAY000354,O000354,Google Pay,181.96,Paid
PAY000355,O000355,Card,341.23,Refunded
PAY000356,O000356,Card,632.64,Paid
PAY000357,O000357,Card,496.92,Paid
PAY000358,O000358,Card,403.89,Failed
PAY000359,O000359,Card,721.04,Failed
PAY000360,O000360,Card,142.3,Paid
PAY000361,O000361,PayPal,718.87,Failed
PAY000362,O000362,PayPal,275.34,Paid
PAY000363,O000363,Card,378.42,Paid
PAY000364,O000364,PayPal,440.35,Paid
PAY000365,O000365,PayPal,168.3,Paid
PAY000366,O000366,Card,26.22,Paid
PAY000367,O000367,Apple Pay,93.13,Paid
PAY000368,O000368,Google Pay,279.43,Paid
PAY000369,O000369,Apple Pay,187.38,Paid
PAY000370,O000370,Google Pay,1124.01,Paid
PAY000371,O000371,Card,594.64,Paid
PAY000372,O000372,Card,301.4,Paid
PAY000373,O000373,Google Pay,137.13,Paid
PAY000374,O000374,Card,2021.3,Paid
PAY000375,O000375,Card,192.49,Paid
PAY000376,O000376,PayPal,377.35,Paid
PAY000377,O000377,Card,966.92,Paid
PAY000378,O000378,Card,587.9,Paid
PAY000379,O000379,Apple Pay,601.83,Paid
PAY000380,O000380,Card,144.38,Paid
PAY000381,O000381,Card,293.7,Paid
PAY000382,O000382,Card,214.04,Failed
PAY000383,O000383,Apple Pay,1206.79,Paid
PAY000384,O000384,Card,577.3,Paid
PAY000385,O000385,Card,927.93,Paid
PAY000386,O000386,Google Pay,523.29,Paid
PAY000387,O000387,Card,248.69,Paid
PAY000388,O000388,Card,1116.27,Paid
PAY000389,O000389,Google Pay,63.72,Paid
PAY000390,O000390,Apple Pay,1489.84,Paid
PAY000391,O000391,Card,71.0,Paid
PAY000392,O000392,Apple Pay,369.3,Paid
PAY000393,O000393,PayPal,1206.54,Paid
PAY000394,O000394,PayPal,384.9,Paid
PAY000395,O000395,Card,208.38,Paid
PAY000396,O000396,Apple Pay,1148.86,Paid
PAY000397,O000397,PayPal,770.73,Refunded
PAY000398,O000398,Card,407.96,Refunded
PAY000399,O000399,Google Pay,539.33,Paid
PAY000400,O000400,Card,145.75,Paid
PAY000401,O000401,Card,818.86,Paid
PAY000402,O000402,Card,1124.01,Paid
PAY000403,O000403,Google Pay,554.36,Paid
PAY000404,O000404,Card,741.04,Paid
PAY000405,O000405,PayPal,242.8,Paid
PAY000406,O000406,Card,877.62,Paid
PAY000407,O000407,Card,481.09,Paid
PAY000408,O000408,Card,328.76,Paid
PAY000409,O000409,Card,217.75,Paid
PAY000410,O000410,Card,1177.62,Paid
PAY000411,O000411,Apple Pay,359.81,Paid
PAY000412,O000412,Google Pay,116.82,Paid
PAY000413,O000413,Card,18.64,Paid
PAY000414,O000414,Google Pay,93.71,Failed
PAY000415,O000415,PayPal,293.59,Paid
PAY000416,O000416,Card,739.4,Paid
PAY000417,O000417,Card,203.78,Failed
PAY000418,O000418,Google Pay,320.99,Paid
PAY000419,O000419,Card,268.03,Paid
PAY000420,O000420,PayPal,232.48,Paid
PAY000421,O000421,Card,415.99,Paid
PAY000422,O000422,Card,353.04,Paid
PAY000423,O000423,Apple Pay,504.96,Paid
PAY000424,O000424,Apple Pay,465.28,Paid
PAY000425,O000425,PayPal,1398.11,Paid
PAY000426,O000426,Card,407.39,Paid
PAY000427,O000427,Google Pay,1105.73,Paid
PAY000428,O000428,Apple Pay,372.33,Paid
PAY000429,O000429,Apple Pay,1117.32,Failed
PAY000430,O000430,PayPal,1502.08,Paid
PAY000431,O000431,Card,1459.16,Failed
PAY000432,O000432,Card,245.04,Paid
PAY000433,O000433,Card,41.83,Failed
PAY000434,O000434,Card,265.15,Paid
PAY000435,O000435,Card,1724.08,Paid
PAY000436,O000436,Google Pay,304.94,Paid
PAY000437,O000437,Apple Pay,598.68,Failed
PAY000438,O000438,Apple Pay,62.34,Paid
PAY000439,O000439,Apple Pay,1325.87,Paid
PAY000440,O000440,Card,1400.48,Paid
PAY000441,O000441,Google Pay,330.99,Failed
PAY000442,O000442,PayPal,342.14,Paid
PAY000443,O000443,Card,624.95,Paid
PAY000444,O000444,PayPal,460.11,Paid
PAY000445,O000445,Apple Pay,1205.46,Paid
PAY000446,O000446,PayPal,1878.94,Paid
PAY000447,O000447,Card,810.76,Failed
PAY000448,O000448,PayPal,763.07,Paid
PAY000449,O000449,Card,460.08,Paid
PAY000450,O000450,Apple Pay,459.42,Paid
PAY000451,O000451,Card,205.44,Paid
PAY000452,O000452,Google Pay,219.16,Paid
PAY000453,O000453,PayPal,353.83,Paid
PAY000454,O000454,PayPal,563.23,Paid
PAY000455,O000455,Card,416.41,Paid
PAY000456,O000456,Card,111.84,Paid
PAY000457,O000457,PayPal,271.16,Failed
PAY000458,O000458,PayPal,812.77,Paid
PAY000459,O000459,PayPal,1233.39,Paid
PAY000460,O000460,Card,1006.32,Paid
PAY000461,O000461,Card,14.68,Paid
PAY000462,O000462,PayPal,299.29,Paid
PAY000463,O000463,PayPal,444.23,Paid
PAY000464,O000464,Google Pay,3759.61,Paid
PAY000465,O000465,Card,883.52,Paid
PAY000466,O000466,Card,507.3,Paid
PAY000467,O000467,Apple Pay,90.4,Paid
PAY000468,O000468,PayPal,192.0,Paid
PAY000469,O000469,Card,942.89,Paid
PAY000470,O000470,Card,707.37,Paid
PAY000471,O000471,Card,744.07,Paid
PAY000472,O000472,Card,1620.87,Paid
PAY000473,O000473,Card,208.26,Paid
PAY000474,O000474,Card,677.61,Paid
PAY000475,O000475,Apple Pay,1387.53,Paid
PAY000476,O000476,Google Pay,128.5,Paid
PAY000477,O000477,Google Pay,104.98,Paid
PAY000478,O000478,Card,224.16,Paid
PAY000479,O000479,Google Pay,273.87,Paid
PAY000480,O000480,Card,366.81,Paid
PAY000481,O000481,Card,935.16,Paid
PAY000482,O000482,PayPal,743.46,Paid
PAY000483,O000483,Card,42.63,Paid
PAY000484,O000484,Google Pay,19.06,Refunded
PAY000485,O000485,Card,874.86,Paid
PAY000486,O000486,PayPal,670.81,Paid
PAY000487,O000487,Card,552.89,Paid
PAY000488,O000488,Card,151.3,Paid
PAY000489,O000489,PayPal,94.19,Paid
PAY000490,O000490,Card,866.63,Paid
PAY000491,O000491,PayPal,479.97,Paid
PAY000492,O000492,Card,258.07,Paid
PAY000493,O000493,Card,522.74,Paid
PAY000494,O000494,Apple Pay,1035.63,Paid
PAY000495,O000495,Card,475.03,Paid
PAY000496,O000496,Card,35.5,Paid
PAY000497,O000497,Card,1182.72,Paid
PAY000498,O000498,Card,52.44,Paid
PAY000499,O000499,PayPal,113.86,Paid
PAY000500,O000500,Card,895.07,Paid
PAY000501,O000501,Card,73.14,Paid
PAY000502,O000502,Apple Pay,1704.08,Paid
PAY000503,O000503,Card,948.63,Paid
PAY000504,O000504,PayPal,148.8,Paid
PAY000505,O000505,Card,303.43,Paid
PAY000506,O000506,PayPal,320.16,Paid
PAY000507,O000507,Card,420.65,Paid
PAY000508,O000508,PayPal,43.83,Paid
PAY000509,O000509,Card,416.15,Refunded
PAY000510,O000510,Card,188.04,Refunded
PAY000511,O000511,PayPal,1007.55,Paid
PAY000512,O000512,Card,1060.45,Paid
PAY000513,O000513,Apple Pay,308.88,Paid
PAY000514,O000514,Card,322.57,Paid
PAY000515,O000515,PayPal,619.76,Paid
PAY000516,O000516,Card,1196.87,Paid
PAY000517,O000517,Card,519.81,Paid
PAY000518,O000518,Apple Pay,1414.75,Paid
PAY000519,O000519,Card,593.67,Paid
PAY000520,O000520,Card,2857.14,Paid
PAY000521,O000521,Card,571.2,Paid
PAY000522,O000522,Card,521.52,Failed
PAY000523,O000523,Card,312.72,Paid
PAY000524,O000524,PayPal,421.41,Paid
PAY000525,O000525,Google Pay,549.82,Paid
PAY000526,O000526,Card,323.2,Paid
PAY000527,O000527,Card,547.35,Paid
PAY000528,O000528,Card,1758.3,Paid
PAY000529,O000529,Google Pay,244.56,Paid
PAY000530,O000530,PayPal,496.37,Paid
PAY000531,O000531,Google Pay,1024.62,Paid
PAY000532,O000532,Apple Pay,91.74,Paid
PAY000533,O000533,Card,725.87,Paid
PAY000534,O000534,PayPal,597.67,Paid
PAY000535,O000535,Card,473.12,Paid
PAY000536,O000536,PayPal,34.52,Paid
PAY000537,O000537,Card,58.56,Paid
PAY000538,O000538,Card,1066.69,Paid
PAY000539,O000539,PayPal,250.33,Paid
PAY000540,O000540,Card,311.45,Paid
PAY000541,O000541,Apple Pay,23.83,Paid
PAY000542,O000542,PayPal,240.31,Paid
PAY000543,O000543,Card,443.01,Paid
PAY000544,O000544,Card,128.5,Paid
PAY000545,O000545,Google Pay,371.69,Paid
PAY000546,O000546,Card,627.94,Paid
PAY000547,O000547,Apple Pay,133.09,Paid
PAY000548,O000548,Card,898.16,Failed
PAY000549,O000549,PayPal,243.63,Paid
PAY000550,O000550,Card,1344.9,Paid
PAY000551,O000551,Apple Pay,257.02,Paid
PAY000552,O000552,Card,547.4,Paid
PAY000553,O000553,Apple Pay,677.55,Paid
PAY000554,O000554,Apple Pay,613.03,Paid
PAY000555,O000555,Card,240.33,Paid
PAY000556,O000556,Google Pay,352.0,Paid
PAY000557,O000557,Apple Pay,625.36,Paid
PAY000558,O000558,Card,141.94,Paid
PAY000559,O000559,PayPal,652.52,Paid
PAY000560,O000560,Card,1863.86,Paid
PAY000561,O000561,Card,105.77,Paid
PAY000562,O000562,Apple Pay,151.5,Paid
PAY000563,O000563,Apple Pay,133.51,Failed
PAY000564,O000564,Apple Pay,113.9,Paid
PAY000565,O000565,PayPal,95.44,Paid
PAY000566,O000566,Apple Pay,820.57,Paid
PAY000567,O000567,PayPal,450.39,Paid
PAY000568,O000568,Card,1654.74,Paid
PAY000569,O000569,Card,695.08,Paid
PAY000570,O000570,PayPal,795.02,Paid
PAY000571,O000571,Card,172.4,Paid
PAY000572,O000572,PayPal,174.98,Paid
PAY000573,O000573,Google Pay,1095.68,Paid
PAY000574,O000574,Card,17.32,Paid
PAY000575,O000575,PayPal,186.0,Paid
PAY000576,O000576,Google Pay,1071.2,Paid
PAY000577,O000577,Card,57.44,Paid
PAY000578,O000578,PayPal,1893.09,Paid
PAY000579,O000579,Card,242.22,Paid
PAY000580,O000580,PayPal,182.68,Paid
PAY000581,O000581,Card,85.94,Paid
PAY000582,O000582,Card,2526.56,Paid
PAY000583,O000583,Google Pay,76.68,Paid
PAY000584,O000584,Card,327.07,Paid
PAY000585,O000585,Card,175.74,Paid
PAY000586,O000586,PayPal,695.25,Paid
PAY000587,O000587,Card,261.15,Paid
PAY000588,O000588,Card,985.43,Paid
PAY000589,O000589,PayPal,343.39,Paid
PAY000590,O000590,Card,1117.88,Paid
PAY000591,O000591,Card,327.8,Paid
PAY000592,O000592,PayPal,436.8,Paid
PAY000593,O000593,Card,1219.92,Paid
PAY000594,O000594,PayPal,157.63,Paid
PAY000595,O000595,Google Pay,352.66,Paid
PAY000596,O000596,Google Pay,481.13,Paid
PAY000597,O000597,Card,76.31,Paid
PAY000598,O000598,Card,528.34,Paid
PAY000599,O000599,Apple Pay,1147.38,Paid
PAY000600,O000600,Card,336.7,Paid
PAY000601,O000601,Google Pay,962.12,Paid
PAY000602,O000602,Card,387.24,Paid
PAY000603,O000603,Apple Pay,519.94,Paid
PAY000604,O000604,Card,447.99,Paid
PAY000605,O000605,Card,25.82,Paid
PAY000606,O000606,Card,1545.46,Paid
PAY000607,O000607,Card,758.31,Paid
PAY000608,O000608,Apple Pay,1448.97,Paid
PAY000609,O000609,Apple Pay,2058.2,Paid
PAY000610,O000610,Google Pay,1073.48,Paid
PAY000611,O000611,Card,540.38,Paid
PAY000612,O000612,Card,260.84,Paid
PAY000613,O000613,Card,833.68,Paid
