delivery_id,order_id,promised_date,delivery_date,delay_days,delivery_status
D000043,O000046,2026-08-18,2026-08-18,0,On Time
D000044,O000047,2025-12-16,2025-12-16,0,On Time
D000045,O000048,2026-04-27,2026-04-27,0,On Time
D000046,O000049,2026-07-16,2026-07-16,0,On Time
D000047,O000051,2026-07-06,2026-07-05,0,On Time
D000048,O000052,2025-11-18,2025-11-18,0,On Time
D000049,O000053,2026-04-19,2026-04-19,0,On Time
D000050,O000054,2026-05-22,2026-05-22,0,On Time
D000051,O000055,2026-03-25,2026-03-30,5,Late
D000052,O000056,2026-02-23,2026-02-23,0,On Time
D000053,O000057,2026-01-20,2026-01-20,0,On Time
D000054,O000058,2026-07-14,2026-07-14,0,On Time
D000055,O000059,2026-06-02,2026-06-05,3,Late
D000056,O000060,2026-05-11,2026-05-11,0,On Time
D000057,O000061,2025-11-10,2025-11-10,0,On Time
D000058,O000062,2026-08-01,2026-08-01,0,On Time
D000059,O000063,2026-05-31,2026-05-31,0,On Time
D000060,O000064,2026-04-20,2026-04-25,5,Late
D000061,O000065,2025-09-22,2025-09-22,0,On Time
D000062,O000066,2025-09-10,2025-09-10,0,On Time
D000063,O000067,2026-06-21,2026-06-21,0,On Time
D000064,O000068,2025-03-29,2025-04-02,4,Late
D000065,O000069,2026-05-08,2026-05-08,0,On Time
D000066,O000070,2026-08-03,2026-08-03,0,On Time
D000067,O000071,2026-05-30,2026-05-30,0,On Time
D000068,O000072,2025-03-23,2025-03-28,5,Late
D000069,O000073,2026-03-02,2026-03-02,0,On Time
D000070,O000074,2025-09-07,2025-09-06,0,On Time
D000071,O000075,2026-06-22,2026-06-22,0,On Time
D000072,O000077,2026-07-13,2026-07-13,0,On Time
D000073,O000079,2026-01-30,2026-02-03,4,Late
D000074,O000081,2026-06-15,2026-06-15,0,On Time
D000075,O000082,2026-03-28,2026-03-30,2,Late
D000076,O000083,2026-04-28,2026-04-28,0,On Time
D000077,O000084,2026-06-15,2026-06-15,0,On Time
D000078,O000085,2026-02-07,2026-02-07,0,On Time
D000079,O000086,2025-12-18,2025-12-18,0,On Time
D000080,O000088,2025-07-04,2025-07-05,1,Late
D000081,O000089,2026-03-12,2026-03-12,0,On Time
D000082,O000090,2026-08-08,2026-08-08,0,On Time
D000083,O000091,2026-04-23,2026-04-23,0,On Time
D000084,O000092,2026-06-26,2026-06-25,0,On Time
D000085,O000093,2026-02-22,2026-02-22,0,On Time
D000086,O000094,2026-06-16,2026-06-16,0,On Time
D000087,O000095,2026-05-29,2026-06-02,4,Late
D000088,O000096,2026-06-02,2026-06-02,0,On Time
D000089,O000097,2025-12-23,2025-12-23,0,On Time
D000090,O000098,2026-03-12,2026-03-11,0,On Time
D000091,O000099,2025-06-16,2025-06-16,0,On Time
D000092,O000100,2026-07-12,2026-07-12,0,On Time
D000093,O000101,2026-05-22,2026-05-22,0,On Time
D000094,O000103,2026-04-30,2026-05-02,2,Late
D000095,O000104,2025-09-25,2025-09-30,5,Late
D000096,O000105,2025-09-29,2025-09-28,0,On Time
D000097,O000106,2025-07-04,2025-07-03,0,On Time
D000098,O000107,2025-12-05,2025-12-05,0,On Time
D000099,O000108,2026-03-14,2026-03-14,0,On Time
D000100,O000109,2025-10-01,2025-10-01,0,On Time
D000101,O000110,2025-12-13,2025-12-13,0,On Time
D000102,O000111,2025-03-17,2025-03-16,0,On Time
D000103,O000112,2026-03-29,2026-03-29,0,On Time
D000104,O000113,2026-08-09,2026-08-09,0,On Time
D000105,O000114,2025-11-23,2025-11-26,3,Late
D000106,O000115,2025-03-24,2025-03-24,0,On Time
D000107,O000116,2026-08-01,2026-07-31,0,On Time
D000108,O000117,2025-06-15,2025-06-15,0,On Time
D000109,O000118,2026-08-06,2026-08-06,0,On Time
D000110,O000119,2025-12-12,2025-12-12,0,On Time
D000111,O000120,2026-04-22,2026-04-22,0,On Time
D000112,O000121,2025-11-17,2025-11-17,0,On Time
D000113,O000122,2026-05-25,2026-05-25,0,On Time
D000114,O000123,2026-01-19,2026-01-19,0,On Time
D000115,O000124,2026-04-07,2026-04-10,3,Late
D000116,O000125,2025-10-28,2025-10-28,0,On Time
D000117,O000126,2026-03-14,2026-03-14,0,On Time
D000118,O000127,2025-11-25,2025-11-25,0,On Time
D000119,O000128,2026-04-21,2026-04-21,0,On Time
D000120,O000129,2026-04-29,2026-04-29,0,On Time
D000121,O000130,2026-01-10,2026-01-10,0,On Time
D000122,O000131,2026-06-26,2026-06-27,1,Late
D000123,O000132,2026-05-28,2026-05-28,0,On Time
D000124,O000133,2025-11-01,2025-10-31,0,On Time
D000125,O000134,2025-12-30,2025-12-30,0,On Time
D000126,O000136,2026-07-12,2026-07-12,0,On Time
D000127,O000137,2026-03-28,2026-03-27,0,On Time
D000128,O000138,2026-01-14,2026-01-14,0,On Time
D000129,O000139,2026-01-22,2026-01-29,7,Late
D000130,O000141,2025-10-17,2025-10-17,0,On Time
D000131,O000142,2026-04-04,2026-04-09,5,Late
D000132,O000143,2026-06-28,2026-06-28,0,On Time
D000133,O000144,2026-08-23,2026-08-23,0,On Time
D000134,O000145,2026-02-14,2026-02-17,3,Late
D000135,O000146,2026-05-23,2026-05-22,0,On Time
D000136,O000147,2026-03-17,2026-03-23,6,Late
D000137,O000148,2026-08-05,2026-08-06,1,Late
D000138,O000149,2025-12-22,2025-12-22,0,On Time
D000139,O000150,2026-06-03,2026-06-03,0,On Time
D000140,O000151,2026-04-08,2026-04-08,0,On Time
D000141,O000152,2026-04-17,2026-04-17,0,On Time
D000142,O000153,2026-08-03,2026-08-07,4,Late
D000143,O000154,2026-08-18,2026-08-18,0,On Time
D000144,O000155,2026-02-11,2026-02-11,0,On Time
D000145,O000157,2025-09-22,2025-09-22,0,On Time
D000146,O000158,2025-12-29,2025-12-29,0,On Time
D000147,O000159,2025-11-24,2025-11-24,0,On Time
D000148,O000160,2026-03-31,2026-04-02,2,Late
D000149,O000161,2025-09-04,2025-09-04,0,On Time
D000150,O000162,2025-11-28,2025-11-29,1,Late
D000151,O000163,2025-07-02,2025-07-02,0,On Time
D000152,O000165,2026-01-05,2026-01-05,0,On Time
D000153,O000166,2026-06-30,2026-06-30,0,On Time
D000154,O000167,2026-04-06,2026-04-06,0,On Time
D000155,O000168,2026-04-19,2026-04-19,0,On Time
D000156,O000169,2025-11-16,2025-11-16,0,On Time
D000157,O000170,2025-11-15,2025-11-15,0,On Time
D000158,O000171,2025-11-27,2025-11-27,0,On Time
D000159,O000172,2026-01-05,2026-01-10,5,Late
D000160,O000174,2026-02-21,2026-02-27,6,Late
D000161,O000175,2025-09-13,2025-09-13,0,On Time
D000162,O000176,2026-06-12,2026-06-12,0,On Time
D000163,O000177,2026-07-17,2026-07-20,3,Late
D000164,O000179,2025-10-06,2025-10-06,0,On Time
D000165,O000181,2025-08-28,2025-08-28,0,On Time
D000166,O000182,2026-07-23,2026-07-23,0,On Time
D000167,O000183,2026-02-15,2026-02-15,0,On Time
D000168,O000185,2026-03-10,2026-03-17,7,Late
D000169,O000186,2026-05-07,2026-05-06,0,On Time
D000170,O000187,2026-08-06,2026-08-09,3,Late
D000171,O000188,2026-02-25,2026-02-24,0,On Time
D000172,O000189,2026-03-30,2026-03-30,0,On Time
D000173,O000190,2025-09-01,2025-09-01,0,On Time
D000174,O000191,2026-01-18,2026-01-17,0,On Time
D000175,O000192,2026-07-05,2026-07-05,0,On Time
D000176,O000193,2025-07-03,2025-07-03,0,On Time
D000177,O000194,2026-06-20,2026-06-20,0,On Time
D000178,O000195,2026-05-11,2026-05-11,0,On Time
D000179,O000196,2025-09-20,2025-09-19,0,On Time
D000180,O000197,2026-08-02,2026-08-02,0,On Time
D000181,O000198,2026-06-12,2026-06-13,1,Late
D000182,O000199,2026-07-11,2026-07-10,0,On Time
D000183,O000200,2026-08-24,2026-08-24,0,On Time
D000184,O000201,2026-01-10,2026-01-12,2,Late
D000185,O000202,2025-04-17,2025-04-17,0,On Time
D000186,O000203,2026-03-16,2026-03-16,0,On Time
D000187,O000204,2026-06-21,2026-06-21,0,On Time
D000188,O000205,2026-07-02,2026-07-03,1,Late
D000189,O000206,2025-08-19,2025-08-22,3,Late
D000190,O000207,2026-08-05,2026-08-10,5,Late
D000191,O000208,2025-09-11,2025-09-11,0,On Time
D000192,O000209,2025-09-15,2025-09-14,0,On Time
D000193,O000211,2026-08-23,2026-08-23,0,On Time
D000194,O000212,2025-11-20,2025-11-20,0,On Time
D000195,O000213,2025-06-14,2025-06-14,0,On Time
D000196,O000214,2026-06-10,2026-06-14,4,Late
D000197,O000215,2026-01-23,2026-01-28,5,Late
D000198,O000216,2026-05-31,2026-05-31,0,On Time
D000199,O000217,2025-06-14,2025-06-14,0,On Time
D000200,O000218,2025-05-08,2025-05-08,0,On Time
D000201,O000219,2025-10-30,2025-10-30,0,On Time
D000202,O000220,2025-12-26,2025-12-26,0,On Time
D000203,O000221,2025-10-26,2025-10-26,0,On Time
D000204,O000222,2025-10-25,2025-10-24,0,On Time
D000205,O000223,2026-03-01,2026-03-01,0,On Time
D000206,O000224,2025-11-06,2025-11-06,0,On Time
D000207,O000225,2026-05-27,2026-05-27,0,On Time
D000208,O000226,2025-12-26,2025-12-25,0,On Time
D000209,O000227,2026-06-23,2026-06-23,0,On Time
D000210,O000228,2026-06-17,2026-06-16,0,On Time
D000211,O000229,2026-07-05,2026-07-05,0,On Time
D000212,O000230,2025-12-11,2025-12-11,0,On Time
D000213,O000231,2025-10-16,2025-10-18,2,Late
D000214,O000232,2026-05-09,2026-05-09,0,On Time
D000215,O000233,2026-07-13,2026-07-13,0,On Time
D000216,O000234,2025-10-25,2025-10-25,0,On Time
D000217,O000235,2026-07-29,2026-08-01,3,Late
D000218,O000236,2026-04-21,2026-04-21,0,On Time
D000219,O000237,2026-07-01,2026-07-01,0,On Time
D000220,O000238,2026-03-06,2026-03-05,0,On Time
D000221,O000239,2026-04-01,2026-04-01,0,On Time
D000222,O000240,2026-04-22,2026-04-26,4,Late
D000223,O000241,2026-04-18,2026-04-17,0,On Time
D000224,O000242,2026-06-14,2026-06-18,4,Late
D000225,O000244,2026-02-09,2026-02-09,0,On Time
D000226,O000245,2026-05-25,2026-05-25,0,On Time
D000227,O000246,2026-03-09,2026-03-11,2,Late
D000228,O000247,2026-06-02,2026-06-01,0,On Time
D000229,O000248,2025-07-31,2025-07-30,0,On Time
D000230,O000249,2025-11-26,2025-11-26,0,On Time
D000231,O000250,2026-02-02,2026-02-02,0,On Time
D000232,O000252,2025-06-28,2025-06-29,1,Late
D000233,O000253,2025-11-06,2025-11-06,0,On Time
D000234,O000254,2025-08-18,2025-08-18,0,On Time
D000235,O000255,2026-08-17,2026-08-18,1,Late
D000236,O000256,2025-11-29,2025-11-30,1,Late
D000237,O000257,2026-08-17,2026-08-17,0,On Time
D000238,O000259,2025-10-29,2025-10-29,0,On Time
D000239,O000261,2026-04-05,2026-04-05,0,On Time
D000240,O000262,2026-04-15,2026-04-15,0,On Time
D000241,O000264,2026-05-26,2026-05-26,0,On Time
D000242,O000265,2026-07-29,2026-07-29,0,On Time
D000243,O000266,2026-01-20,2026-01-19,0,On Time
D000244,O000267,2025-07-25,2025-07-26,1,Late
D000245,O000268,2025-11-05,2025-11-05,0,On Time
D000246,O000269,2025-05-28,2025-05-28,0,On Time
D000247,O000270,2025-10-25,2025-10-31,6,Late
D000248,O000271,2026-06-12,2026-06-12,0,On Time
D000249,O000272,2026-02-09,2026-02-09,0,On Time
D000250,O000273,2025-05-24,2025-05-24,0,On Time
D000251,O000274,2026-02-19,2026-02-19,0,On Time
D000252,O000275,2026-08-03,2026-08-03,0,On Time
D000253,O000276,2026-05-28,2026-05-28,0,On Time
D000254,O000278,2026-04-15,2026-04-15,0,On Time
D000255,O000279,2026-02-24,2026-03-01,5,Late
D000256,O000280,2025-07-13,2025-07-13,0,On Time
D000257,O000281,2026-06-19,2026-06-24,5,Late
D000258,O000282,2026-06-30,2026-06-30,0,On Time
D000259,O000283,2026-05-08,2026-05-08,0,On Time
D000260,O000284,2026-07-23,2026-07-23,0,On Time
D000261,O000285,2026-04-08,2026-04-08,0,On Time
D000262,O000286,2025-09-14,2025-09-14,0,On Time
D000263,O000287,2026-01-06,2026-01-08,2,Late
D000264,O000288,2025-04-18,2025-04-24,6,Late
D000265,O000289,2026-08-06,2026-08-06,0,On Time
D000266,O000290,2026-07-23,2026-07-24,1,Late
D000267,O000291,2026-05-10,2026-05-10,0,On Time
D000268,O000292,2026-06-09,2026-06-09,0,On Time
D000269,O000293,2026-03-31,2026-03-31,0,On Time
D000270,O000294,2025-12-20,2025-12-19,0,On Time
D000271,O000295,2025-08-09,2025-08-09,0,On Time
D000272,O000296,2025-12-26,2025-12-29,3,Late
D000273,O000297,2026-03-05,2026-03-05,0,On Time
D000274,O000298,2026-07-24,2026-07-31,7,Late
D000275,O000299,2025-09-15,2025-09-16,1,Late
D000276,O000300,2025-12-04,2025-12-04,0,On Time
D000277,O000301,2026-04-16,2026-04-18,2,Late
D000278,O000302,2026-03-14,2026-03-15,1,Late
D000279,O000303,2026-07-22,2026-07-22,0,On Time
D000280,O000304,2026-06-06,2026-06-05,0,On Time
D000281,O000305,2026-02-21,2026-02-21,0,On Time
D000282,O000306,2026-01-25,2026-01-25,0,On Time
D000283,O000307,2025-10-14,2025-10-14,0,On Time
D000284,O000308,2026-01-02,2026-01-06,4,Late
D000285,O000309,2025-07-08,2025-07-08,0,On Time
D000286,O000310,2025-08-14,2025-08-14,0,On Time
D000287,O000311,2026-04-23,2026-04-23,0,On Time
D000288,O000312,2026-02-06,2026-02-06,0,On Time
D000289,O000313,2025-11-15,2025-11-15,0,On Time
D000290,O000314,2026-05-07,2026-05-07,0,On Time
D000291,O000315,2026-03-02,2026-03-02,0,On Time
D000292,O000316,2026-06-04,2026-06-04,0,On Time
D000293,O000317,2026-02-27,2026-02-27,0,On Time
D000294,O000318,2025-04-26,2025-04-26,0,On Time
D000295,O000319,2026-07-18,2026-07-20,2,Late
D000296,O000320,2025-06-26,2025-06-26,0,On Time
D000297,O000321,2025-11-04,2025-11-05,1,Late
D000298,O000322,2026-04-17,2026-04-17,0,On Time
D000299,O000323,2026-02-12,2026-02-12,0,On Time
D000300,O000324,2025-08-25,2025-08-25,0,On Time
D000301,O000325,2025-12-07,2025-12-07,0,On Time
D000302,O000326,2026-03-01,2026-02-28,0,On Time
D000303,O000327,2026-04-01,2026-03-31,0,On Time
D000304,O000328,2026-01-11,2026-01-11,0,On Time
D000305,O000329,2026-06-10,2026-06-10,0,On Time
D000306,O000330,2025-12-03,2025-12-03,0,On Time
D000307,O000331,2026-06-10,2026-06-10,0,On Time
D000308,O000332,2025-12-01,2025-12-01,0,On Time
D000309,O000333,2026-06-10,2026-06-10,0,On Time
D000310,O000334,2026-07-24,2026-07-24,0,On Time
D000311,O000335,2026-01-27,2026-01-27,0,On Time
D000312,O000336,2025-09-23,2025-09-23,0,On Time
D000313,O000337,2025-09-17,2025-09-17,0,On Time
D000314,O000338,2026-07-04,2026-07-04,0,On Time
D000315,O000339,2025-10-25,2025-10-25,0,On Time
D000316,O000340,2026-03-18,2026-03-18,0,On Time
D000317,O000341,2025-08-02,2025-08-01,0,On Time
D000318,O000342,2025-10-06,2025-10-05,0,On Time
D000319,O000343,2026-04-16,2026-04-16,0,On Time
D000320,O000344,2026-03-31,2026-04-04,4,Late
D000321,O000345,2026-04-16,2026-04-15,0,On Time
D000322,O000347,2026-04-24,2026-04-24,0,On Time
D000323,O000348,2025-10-30,2025-10-30,0,On Time
D000324,O000349,2026-01-03,2026-01-05,2,Late
D000325,O000350,2026-03-12,2026-03-12,0,On Time
D000326,O000351,2025-12-31,2025-12-31,0,On Time
D000327,O000352,2026-02-18,2026-02-18,0,On Time
D000328,O000353,2026-05-30,2026-05-30,0,On Time
D000329,O000354,2026-03-05,2026-03-06,1,Late
D000330,O000356,2026-04-30,2026-04-30,0,On Time
D000331,O000357,2026-03-14,2026-03-13,0,On Time
D000332,O000360,2026-05-03,2026-05-03,0,On Time
D000333,O000362,2026-08-20,2026-08-20,0,On Time
D000334,O000363,2026-04-18,2026-04-18,0,On Time
D000335,O000364,2026-07-16,2026-07-16,0,On Time
D000336,O000365,2025-04-29,2025-04-29,0,On Time
D000337,O000366,2026-07-18,2026-07-17,0,On Time
D000338,O000367,2026-06-06,2026-06-06,0,On Time
D000339,O000368,2026-06-16,2026-06-16,0,On Time
D000340,O000369,2026-06-07,2026-06-07,0,On Time
D000341,O000370,2026-07-27,2026-07-27,0,On Time
D000342,O000371,2025-11-26,2025-11-26,0,On Time
D000343,O000372,2026-05-26,2026-05-26,0,On Time
D000344,O000373,2026-01-22,2026-01-27,5,Late
D000345,O000374,2026-04-19,2026-04-19,0,On Time
D000346,O000375,2026-02-15,2026-02-15,0,On Time
D000347,O000376,2026-01-20,2026-01-20,0,On Time
D000348,O000377,2026-06-19,2026-06-19,0,On Time
D000349,O000378,2026-03-16,2026-03-22,6,Late
D000350,O000379,2026-08-08,2026-08-08,0,On Time
D000351,O000380,2026-02-27,2026-02-27,0,On Time
D000352,O000381,2025-06-03,2025-06-03,0,On Time
D000353,O000383,2025-09-14,2025-09-14,0,On Time
D000354,O000384,2025-06-23,2025-06-23,0,On Time
D000355,O000385,2025-12-03,2025-12-03,0,On Time
D000356,O000386,2025-05-30,2025-05-31,1,Late
D000357,O000387,2026-07-18,2026-07-18,0,On Time
D000358,O000388,2026-05-16,2026-05-16,0,On Time
D000359,O000389,2026-07-18,2026-07-18,0,On Time
D000360,O000390,2025-12-28,2025-12-27,0,On Time
D000361,O000391,2026-01-30,2026-01-30,0,On Time
D000362,O000392,2026-01-24,2026-01-29,5,Late
D000363,O000393,2026-03-31,2026-03-31,0,On Time
D000364,O000394,2025-06-15,2025-06-15,0,On Time
D000365,O000395,2025-09-21,2025-09-21,0,On Time
D000366,O000396,2025-12-16,2025-12-16,0,On Time
D000367,O000399,2025-08-13,2025-08-12,0,On Time
D000368,O000400,2025-02-03,2025-02-03,0,On Time
D000369,O000401,2026-05-19,2026-05-22,3,Late
D000370,O000402,2026-07-29,2026-07-29,0,On Time
D000371,O000403,2025-11-18,2025-11-20,2,Late
D000372,O000404,2026-06-17,2026-06-16,0,On Time
D000373,O000405,2025-12-21,2025-12-21,0,On Time
D000374,O000406,2025-12-20,2025-12-24,4,Late
D000375,O000407,2025-12-17,2025-12-17,0,On Time
D000376,O000408,2025-12-05,2025-12-06,1,Late
D000377,O000409,2025-12-08,2025-12-08,0,On Time
D000378,O000410,2025-07-24,2025-07-23,0,On Time
D000379,O000411,2026-04-26,2026-04-26,0,On Time
D000380,O000412,2026-06-04,2026-06-04,0,On Time
D000381,O000413,2026-01-05,2026-01-05,0,On Time
D000382,O000415,2025-08-30,2025-08-30,0,On Time
D000383,O000416,2026-04-30,2026-04-30,0,On Time
D000384,O000418,2026-01-09,2026-01-08,0,On Time
D000385,O000419,2026-04-19,2026-04-19,0,On Time
D000386,O000420,2026-02-13,2026-02-12,0,On Time
D000387,O000421,2025-11-25,2025-11-25,0,On Time
D000388,O000422,2025-12-02,2025-12-02,0,On Time
D000389,O000423,2025-12-13,2025-12-13,0,On Time
D000390,O000424,2026-03-16,2026-03-16,0,On Time
D000391,O000425,2026-05-22,2026-05-22,0,On Time
D000392,O000426,2026-06-27,2026-06-27,0,On Time
D000393,O000427,2025-04-22,2025-04-29,7,Late
D000394,O000428,2026-02-17,2026-02-21,4,Late
D000395,O000429,2026-05-03,2026-05-03,0,On Time
D000396,O000430,2025-08-19,2025-08-19,0,On Time
D000397,O000432,2025-12-18,2025-12-18,0,On Time
D000398,O000434,2026-02-16,2026-02-18,2,Late
D000399,O000435,2026-04-22,2026-04-22,0,On Time
D000400,O000436,2026-07-09,2026-07-09,0,On Time
D000401,O000438,2026-05-28,2026-05-28,0,On Time
D000402,O000439,2026-04-09,2026-04-09,0,On Time
D000403,O000440,2026-06-24,2026-06-23,0,On Time
D000404,O000441,2025-08-19,2025-08-23,4,Late
D000405,O000442,2025-12-05,2025-12-09,4,Late
D000406,O000443,2026-01-19,2026-01-18,0,On Time
D000407,O000444,2026-04-07,2026-04-08,1,Late
D000408,O000445,2026-05-29,2026-06-04,6,Late
D000409,O000446,2025-12-18,2025-12-18,0,On Time
D000410,O000448,2025-12-15,2025-12-22,7,Late
D000411,O000449,2025-08-18,2025-08-18,0,On Time
D000412,O000450,2026-06-14,2026-06-18,4,Late
D000413,O000451,2025-11-18,2025-11-17,0,On Time
D000414,O000452,2026-05-28,2026-05-27,0,On Time
D000415,O000453,2025-12-08,2025-12-11,3,Late
D000416,O000454,2025-08-16,2025-08-15,0,On Time
D000417,O000455,2026-06-16,2026-06-22,6,Late
D000418,O000456,2025-04-05,2025-04-05,0,On Time
D000419,O000457,2026-05-19,2026-05-18,0,On Time
D000420,O000458,2026-03-02,2026-03-03,1,Late
D000421,O000459,2025-08-03,2025-08-03,0,On Time
D000422,O000460,2026-08-19,2026-08-19,0,On Time
D000423,O000461,2025-07-05,2025-07-05,0,On Time
D000424,O000462,2026-07-15,2026-07-15,0,On Time
D000425,O000463,2025-11-21,2025-11-21,0,On Time
D000426,O000464,2026-07-03,2026-07-03,0,On Time
D000427,O000465,2026-05-24,2026-05-23,0,On Time
D000428,O000466,2025-10-31,2025-10-30,0,On Time
D000429,O000467,2026-04-05,2026-04-04,0,On Time
D000430,O000468,2026-06-13,2026-06-13,0,On Time
D000431,O000469,2026-06-13,2026-06-13,0,On Time
D000432,O000470,2026-03-07,2026-03-14,7,Late
D000433,O000471,2025-07-03,2025-07-07,4,Late
D000434,O000472,2025-12-01,2025-11-30,0,On Time
D000435,O000473,2026-02-02,2026-02-02,0,On Time
D000436,O000474,2025-08-26,2025-08-25,0,On Time
D000437,O000475,2026-01-04,2026-01-04,0,On Time
D000438,O000476,2026-05-04,2026-05-09,5,Late
D000439,O000477,2025-10-15,2025-10-20,5,Late
D000440,O000478,2026-05-05,2026-05-05,0,On Time
D000441,O000479,2026-08-20,2026-08-19,0,On Time
D000442,O000480,2025-11-19,2025-11-19,0,On Time
D000443,O000481,2026-05-26,2026-05-26,0,On Time
D000444,O000482,2025-06-07,2025-06-13,6,Late
D000445,O000483,2026-07-27,2026-07-27,0,On Time
D000446,O000485,2026-03-25,2026-03-25,0,On Time
D000447,O000486,2026-04-06,2026-04-08,2,Late
D000448,O000487,2026-03-21,2026-03-21,0,On Time
D000449,O000488,2025-06-08,2025-06-12,4,Late
D000450,O000489,2026-06-06,2026-06-06,0,On Time
D000451,O000490,2026-05-15,2026-05-21,6,Late
D000452,O000491,2025-10-08,2025-10-08,0,On Time
D000453,O000492,2026-08-02,2026-08-07,5,Late
D000454,O000493,2026-01-15,2026-01-15,0,On Time
D000455,O000494,2026-07-30,2026-07-30,0,On Time
D000456,O000495,2026-03-14,2026-03-14,0,On Time
D000457,O000496,2026-02-24,2026-02-24,0,On Time
D000458,O000497,2026-05-02,2026-05-02,0,On Time
D000459,O000498,2026-02-26,2026-02-25,0,On Time
D000460,O000499,2026-08-01,2026-08-01,0,On Time
D000461,O000500,2025-09-22,2025-09-22,0,On Time
D000462,O000501,2025-08-23,2025-08-23,0,On Time
D000463,O000502,2026-02-25,2026-02-25,0,On Time
D000464,O000503,2026-03-06,2026-03-05,0,On Time
D000465,O000504,2025-01-29,2025-01-29,0,On Time
D000466,O000505,2026-05-19,2026-05-24,5,Late
D000467,O000506,2025-07-10,2025-07-10,0,On Time
D000468,O000507,2026-02-27,2026-02-27,0,On Time
D000469,O000508,2025-12-02,2025-12-02,0,On Time
D000470,O000511,2026-05-03,2026-05-03,0,On Time
D000471,O000512,2026-06-06,2026-06-06,0,On Time
D000472,O000513,2025-09-29,2025-10-01,2,Late
D000473,O000514,2026-04-11,2026-04-10,0,On Time
D000474,O000515,2026-01-19,2026-01-19,0,On Time
D000475,O000516,2026-03-22,2026-03-23,1,Late
D000476,O000517,2025-12-28,2025-12-30,2,Late
D000477,O000518,2026-03-26,2026-03-26,0,On Time
D000478,O000519,2026-08-12,2026-08-15,3,Late
D000479,O000520,2026-06-27,2026-06-26,0,On Time
D000480,O000521,2026-03-31,2026-03-31,0,On Time
D000481,O000523,2026-06-05,2026-06-05,0,On Time
D000482,O000524,2026-08-02,2026-08-03,1,Late
D000483,O000525,2026-03-03,2026-03-08,5,Late
D000484,O000526,2026-01-19,2026-01-19,0,On Time
D000485,O000527,2026-08-02,2026-08-02,0,On Time
D000486,O000528,2026-07-07,2026-07-07,0,On Time
D000487,O000529,2026-07-25,2026-07-28,3,Late
D000488,O000530,2026-04-01,2026-04-01,0,On Time
D000489,O000531,2026-08-03,2026-08-02,0,On Time
D000490,O000532,2025-12-20,2025-12-20,0,On Time
D000491,O000533,2025-09-06,2025-09-06,0,On Time
D000492,O000534,2026-08-03,2026-08-08,5,Late
D000493,O000535,2025-12-11,2025-12-11,0,On Time
D000494,O000536,2026-07-11,2026-07-11,0,On Time
D000495,O000537,2026-07-11,2026-07-11,0,On Time
D000496,O000538,2025-11-03,2025-11-03,0,On Time
D000497,O000539,2026-02-26,2026-02-26,0,On Time
D000498,O000540,2026-06-27,2026-06-26,0,On Time
D000499,O000541,2025-07-09,2025-07-09,0,On Time
D000500,O000542,2026-02-13,2026-02-14,1,Late
D000501,O000543,2026-05-18,2026-05-18,0,On Time
