product_id,product_name,category,selling_price,cost_price
P0179,Product_179,Home,239.26,134
P0180,Product_180,Electronics,305.33,228
P0181,Product_181,Home,71.47,48
P0182,Product_182,Electronics,528.34,309
P0183,Product_183,Furniture,103.04,82
P0184,Product_184,Home,108.71,73
P0185,Product_185,Sports,78.14,48
P0186,Product_186,Furniture,179.73,90
P0187,Product_187,Sports,183.24,116
P0188,Product_188,Home,205.67,111
P0189,Product_189,Home,301.4,195
P0190,Product_190,Accessories,145.13,79
P0191,Product_191,Furniture,167.63,100
P0192,Product_192,Home,91.65,48
P0193,Product_193,Sports,184.98,121
P0194,Product_194,Sports,109.42,65
P0195,Product_195,Accessories,119.28,70
P0196,Product_196,Sports,168.73,110
P0197,Product_197,Electronics,280.19,213
P0198,Product_198,Electronics,203.98,160
P0199,Product_199,Electronics,469.56,387
P0200,Product_200,Home,250.65,132
P0201,Product_201,Furniture,377.86,272
P0202,Product_202,Accessories,91.74,67
P0203,Product_203,Sports,211.08,118
P0204,Product_204,Sports,78.62,54
P0205,Product_205,Sports,285.66,178
P0206,Product_206,Accessories,42.56,32
P0207,Product_207,Accessories,9.84,5
P0208,Product_208,Home,63.96,34
P0209,Product_209,Accessories,88.88,47
P0210,Product_210,Furniture,248.64,163
P0211,Product_211,Accessories,128.5,71
P0212,Product_212,Home,78.91,60
P0213,Product_213,Accessories,7.24,6
P0214,Product_214,Electronics,314.94,259
P0215,Product_215,Furniture,342.2,205
P0216,Product_216,Accessories,106.37,68
P0217,Product_217,Accessories,125.92,78
P0218,Product_218,Electronics,142.3,118
P0219,Product_219,Home,27.69,18
P0220,Product_220,Home,19.52,11
P0221,Product_221,Electronics,725.79,467
P0222,Product_222,Home,351.8,197
P0223,Product_223,Electronics,386.81,279
P0224,Product_224,Electronics,440.42,238
P0225,Product_225,Electronics,775.23,464
P0226,Product_226,Electronics,80.75,59
P0227,Product_227,Home,170.89,123
P0228,Product_228,Electronics,212.8,125
P0229,Product_229,Sports,193.85,104
P0230,Product_230,Electronics,150.19,98
P0231,Product_231,Sports,125.19,89
P0232,Product_232,Electronics,427.96,226
P0233,Product_233,Accessories,12.15,7
P0234,Product_234,Electronics,682.61,438
P0235,Product_235,Home,314.88,198
P0236,Product_236,Home,134.98,99
P0237,Product_237,Electronics,474.7,279
P0238,Product_238,Home,52.04,35
P0239,Product_239,Electronics,241.58,121
P0240,Product_240,Electronics,491.09,310
P0241,Product_241,Electronics,481.38,303
P0242,Product_242,Sports,56.19,34
P0243,Product_243,Furniture,390.55,202
P0244,Product_244,Accessories,36.81,20
P0245,Product_245,Sports,31.22,20
P0246,Product_246,Accessories,35.5,20
P0247,Product_247,Electronics,784.42,470
P0248,Product_248,Accessories,11.16,7
P0249,Product_249,Electronics,656.62,485
P0250,Product_250,Electronics,150.83,96
P0251,Product_251,Electronics,558.66,400
P0252,Product_252,Electronics,119.78,62
P0253,Product_253,Furniture,421.41,287
P0254,Product_254,Home,125.56,64
P0255,Product_255,Electronics,461.91,284
P0256,Product_256,Accessories,42.63,25
P0257,Product_257,Accessories,114.4,70
P0258,Product_258,Home,248.97,191
P0259,Product_259,Electronics,306.13,204
P0260,Product_260,Furniture,313.43,245
P0261,Product_261,Home,168.14,99
P0262,Product_262,Accessories,96.56,62
P0263,Product_263,Sports,147.61,81
P0264,Product_264,Electronics,560.19,407
P0265,Product_265,Sports,210.4,158
P0266,Product_266,Furniture,523.1,343
P0267,Product_267,Accessories,145.6,75
P0268,Product_268,Electronics,652.52,369
P0269,Product_269,Furniture,153.51,100
P0270,Product_270,Furniture,450.26,279
P0271,Product_271,Furniture,414.43,327
P0272,Product_272,Accessories,47.7,24
P0273,Product_273,Home,29.46,17
P0274,Product_274,Sports,109.98,77
P0275,Product_275,Home,91.78,55
P0276,Product_276,Electronics,103.01,80
P0277,Product_277,Electronics,587.86,298
P0278,Product_278,Sports,150.06,112
P0279,Product_279,Electronics,539.59,314
P0280,Product_280,Electronics,446.84,320
P0281,Product_281,Electronics,253.69,143
P0282,Product_282,Home,296.9,163
P0283,Product_283,Electronics,770.26,443
P0284,Product_284,Accessories,55.82,33
P0285,Product_285,Electronics,246.9,129
P0286,Product_286,Home,56.83,45
P0287,Product_287,Accessories,128.9,88
P0288,Product_288,Electronics,579.03,414
P0289,Product_289,Accessories,81.61,41
P0290,Product_290,Furniture,470.08,311
P0291,Product_291,Accessories,173.25,97
P0292,Product_292,Furniture,316.35,181
P0293,Product_293,Accessories,43.83,32
P0294,Product_294,Accessories,72.34,52
P0295,Product_295,Sports,253.65,178
P0296,Product_296,Electronics,96.32,63
P0297,Product_297,Home,174.82,126
P0298,Product_298,Sports,111.85,92
P0299,Product_299,Furniture,624.35,328
P0300,Product_300,Electronics,276.15,140
