order_item_id,order_id,product_id,quantity
OI0000128,O000062,P0269,2
OI0000129,O000062,P0183,1
OI0000130,O000062,P0230,1
OI0000131,O000063,P0179,2
OI0000132,O000063,P0061,2
OI0000133,O000064,P0273,1
OI0000134,O000064,P0011,1
OI0000135,O000065,P0267,2
OI0000136,O000065,P0162,1
OI0000137,O000065,P0154,1
OI0000138,O000066,P0115,1
OI0000139,O000067,P0071,2
OI0000140,O000067,P0028,1
OI0000141,O000068,P0188,2
OI0000142,O000068,P0016,1
OI0000143,O000069,P0063,1
OI0000144,O000069,P0131,1
OI0000145,O000069,P0242,3
OI0000146,O000070,P0037,1
OI0000147,O000070,P0150,1
OI0000148,O000070,P0126,1
OI0000149,O000071,P0007,1
OI0000150,O000071,P0187,2
OI0000151,O000072,P0110,1
OI0000152,O000073,P0062,1
OI0000153,O000073,P0170,2
OI0000154,O000074,P0257,2
OI0000155,O000074,P0244,1
OI0000156,O000074,P0119,1
OI0000157,O000075,P0197,3
OI0000158,O000075,P0163,1
OI0000159,O000075,P0024,1
OI0000160,O000076,P0250,2
OI0000161,O000076,P0066,1
OI0000162,O000076,P0001,3
OI0000163,O000077,P0169,1
OI0000164,O000077,P0082,1
OI0000165,O000077,P0022,1
OI0000166,O000078,P0158,2
OI0000167,O000079,P0124,2
OI0000168,O000080,P0010,1
OI0000169,O000080,P0159,2
OI0000170,O000080,P0053,1
OI0000171,O000080,P0226,1
OI0000172,O000081,P0229,1
OI0000173,O000082,P0070,2
OI0000174,O000082,P0170,1
OI0000175,O000082,P0084,1
OI0000176,O000083,P0072,1
OI0000177,O000083,P0229,1
OI0000178,O000084,P0209,1
OI0000179,O000084,P0113,1
OI0000180,O000084,P0009,1
OI0000181,O000085,P0026,3
OI0000182,O000085,P0259,1
OI0000183,O000086,P0111,2
OI0000184,O000086,P0183,1
OI0000185,O000086,P0254,3
OI0000186,O000086,P0290,1
OI0000187,O000087,P0078,1
OI0000188,O000088,P0107,1
OI0000189,O000088,P0201,1
OI0000190,O000088,P0196,1
OI0000191,O000089,P0001,1
OI0000192,O000090,P0215,1
OI0000193,O000091,P0205,1
OI0000194,O000091,P0270,1
OI0000195,O000092,P0153,1
OI0000196,O000093,P0246,1
OI0000197,O000093,P0210,2
OI0000198,O000093,P0232,1
OI0000199,O000093,P0223,2
OI0000200,O000094,P0146,1
OI0000201,O000095,P0135,1
OI0000202,O000096,P0289,1
OI0000203,O000097,P0187,1
OI0000204,O000097,P0286,1
OI0000205,O000098,P0011,1
OI0000206,O000099,P0182,1
OI0000207,O000099,P0079,1
OI0000208,O000100,P0221,1
OI0000209,O000100,P0277,1
OI0000210,O000100,P0152,1
OI0000211,O000101,P0111,1
OI0000212,O000101,P0010,1
OI0000213,O000101,P0223,1
OI0000214,O000102,P0120,2
OI0000215,O000103,P0298,1
OI0000216,O000104,P0110,1
OI0000217,O000104,P0046,1
OI0000218,O000104,P0198,1
OI0000219,O000105,P0295,1
OI0000220,O000106,P0187,1
OI0000221,O000106,P0171,1
OI0000222,O000107,P0234,1
OI0000223,O000108,P0148,1
OI0000224,O000109,P0090,1
OI0000225,O000110,P0175,2
OI0000226,O000110,P0286,1
OI0000227,O000110,P0055,1
OI0000228,O000111,P0268,1
OI0000229,O000111,P0132,1
OI0000230,O000112,P0236,2
OI0000231,O000113,P0159,1
OI0000232,O000114,P0050,1
OI0000233,O000114,P0173,1
OI0000234,O000115,P0128,2
OI0000235,O000115,P0084,3
OI0000236,O000116,P0014,2
OI0000237,O000117,P0052,2
OI0000238,O000117,P0038,1
OI0000239,O000118,P0006,2
OI0000240,O000118,P0146,1
OI0000241,O000119,P0232,1
OI0000242,O000119,P0165,1
OI0000243,O000120,P0134,1
OI0000244,O000120,P0086,1
OI0000245,O000121,P0059,2
OI0000246,O000121,P0221,2
OI0000247,O000121,P0242,1
OI0000248,O000122,P0275,2
OI0000249,O000123,P0047,2
OI0000250,O000123,P0110,1
OI0000251,O000124,P0127,1
OI0000252,O000125,P0078,1
OI0000253,O000125,P0090,2
OI0000254,O000126,P0210,1
OI0000255,O000127,P0163,2
OI0000256,O000127,P0084,1
OI0000257,O000128,P0295,1
OI0000258,O000129,P0259,1
OI0000259,O000130,P0081,1
OI0000260,O000131,P0260,1
OI0000261,O000132,P0235,2
OI0000262,O000132,P0134,1
OI0000263,O000133,P0244,1
OI0000264,O000134,P0149,3
OI0000265,O000135,P0290,1
OI0000266,O000136,P0177,1
OI0000267,O000137,P0139,1
OI0000268,O000137,P0156,1
OI0000269,O000137,P0276,1
OI0000270,O000138,P0203,1
OI0000271,O000138,P0188,2
OI0000272,O000138,P0052,1
OI0000273,O000138,P0280,1
OI0000274,O000139,P0107,2
OI0000275,O000139,P0043,3
OI0000276,O000139,P0157,1
OI0000277,O000139,P0074,2
OI0000278,O000140,P0104,2
OI0000279,O000140,P0119,1
OI0000280,O000140,P0163,1
OI0000281,O000140,P0028,2
OI0000282,O000141,P0167,2
OI0000283,O000141,P0286,1
OI0000284,O000142,P0044,1
OI0000285,O000142,P0150,3
OI0000286,O000142,P0272,1
OI0000287,O000143,P0077,2
OI0000288,O000144,P0173,3
OI0000289,O000144,P0139,3
OI0000290,O000144,P0286,1
OI0000291,O000145,P0161,1
OI0000292,O000145,P0166,1
OI0000293,O000145,P0240,1
OI0000294,O000146,P0250,1
OI0000295,O000147,P0273,1
OI0000296,O000148,P0170,1
OI0000297,O000148,P0248,2
OI0000298,O000149,P0004,2
OI0000299,O000149,P0102,3
OI0000300,O000149,P0127,1
OI0000301,O000149,P0222,1
OI0000302,O000150,P0062,1
OI0000303,O000150,P0197,2
OI0000304,O000151,P0108,2
OI0000305,O000152,P0181,1
OI0000306,O000152,P0010,2
OI0000307,O000152,P0073,1
OI0000308,O000153,P0025,1
OI0000309,O000153,P0090,2
OI0000310,O000153,P0214,1
OI0000311,O000153,P0106,1
OI0000312,O000154,P0002,2
OI0000313,O000154,P0298,1
OI0000314,O000155,P0106,1
OI0000315,O000156,P0184,1
OI0000316,O000156,P0075,2
OI0000317,O000157,P0119,1
OI0000318,O000158,P0098,2
OI0000319,O000158,P0131,1
OI0000320,O000158,P0176,1
OI0000321,O000158,P0266,1
OI0000322,O000159,P0121,1
OI0000323,O000159,P0180,1
OI0000324,O000160,P0284,3
OI0000325,O000160,P0159,2
OI0000326,O000160,P0021,2
OI0000327,O000161,P0035,1
OI0000328,O000161,P0070,1
OI0000329,O000162,P0235,1
OI0000330,O000162,P0008,1
OI0000331,O000162,P0128,1
OI0000332,O000163,P0080,1
OI0000333,O000163,P0271,1
OI0000334,O000164,P0077,1
OI0000335,O000165,P0162,1
OI0000336,O000166,P0089,1
OI0000337,O000167,P0270,2
OI0000338,O000167,P0017,1
OI0000339,O000167,P0013,1
OI0000340,O000168,P0019,1
OI0000341,O000169,P0268,1
OI0000342,O000170,P0254,1
OI0000343,O000170,P0147,1
OI0000344,O000171,P0153,2
OI0000345,O000172,P0100,1
OI0000346,O000173,P0147,1
OI0000347,O000173,P0006,1
OI0000348,O000174,P0111,1
OI0000349,O000175,P0274,1
OI0000350,O000175,P0109,2
OI0000351,O000175,P0300,1
OI0000352,O000176,P0097,1
OI0000353,O000177,P0203,3
OI0000354,O000177,P0035,1
OI0000355,O000178,P0183,1
OI0000356,O000178,P0150,1
OI0000357,O000178,P0236,1
OI0000358,O000179,P0099,1
OI0000359,O000179,P0076,1
OI0000360,O000179,P0121,2
OI0000361,O000180,P0074,1
OI0000362,O000180,P0252,2
OI0000363,O000180,P0035,1
OI0000364,O000180,P0117,1
OI0000365,O000181,P0118,1
OI0000366,O000181,P0216,1
OI0000367,O000182,P0278,1
OI0000368,O000183,P0156,2
OI0000369,O000183,P0089,1
OI0000370,O000183,P0087,1
OI0000371,O000183,P0016,2
OI0000372,O000184,P0241,1
OI0000373,O000185,P0154,2
OI0000374,O000185,P0172,1
OI0000375,O000186,P0034,1
OI0000376,O000186,P0246,1
OI0000377,O000187,P0116,2
OI0000378,O000188,P0192,1
OI0000379,O000188,P0111,1
OI0000380,O000188,P0209,1
OI0000381,O000188,P0145,1
OI0000382,O000189,P0087,1
OI0000383,O000190,P0226,1
OI0000384,O000190,P0266,1
OI0000385,O000191,P0025,1
OI0000386,O000191,P0089,3
OI0000387,O000191,P0094,1
OI0000388,O000192,P0093,1
OI0000389,O000192,P0282,2
OI0000390,O000193,P0096,1
OI0000391,O000194,P0173,1
OI0000392,O000194,P0064,1
OI0000393,O000194,P0135,2
OI0000394,O000194,P0243,1
OI0000395,O000195,P0261,1
OI0000396,O000196,P0254,2
OI0000397,O000196,P0269,2
OI0000398,O000196,P0171,1
OI0000399,O000197,P0272,1
OI0000400,O000198,P0013,1
OI0000401,O000199,P0284,3
OI0000402,O000200,P0168,2
OI0000403,O000200,P0241,1
OI0000404,O000200,P0047,1
OI0000405,O000201,P0262,2
OI0000406,O000201,P0078,1
OI0000407,O000202,P0289,3
OI0000408,O000202,P0181,1
OI0000409,O000203,P0087,1
OI0000410,O000203,P0149,1
OI0000411,O000203,P0288,1
OI0000412,O000204,P0058,1
OI0000413,O000204,P0294,2
OI0000414,O000205,P0006,2
OI0000415,O000206,P0058,1
OI0000416,O000207,P0071,2
OI0000417,O000207,P0040,1
OI0000418,O000207,P0084,1
OI0000419,O000208,P0260,1
OI0000420,O000208,P0244,1
OI0000421,O000209,P0032,2
OI0000422,O000210,P0003,2
OI0000423,O000210,P0062,1
OI0000424,O000210,P0151,2
OI0000425,O000211,P0145,2
OI0000426,O000211,P0210,1
OI0000427,O000212,P0205,1
OI0000428,O000212,P0029,1
OI0000429,O000212,P0068,2
OI0000430,O000213,P0114,1
OI0000431,O000213,P0279,1
OI0000432,O000214,P0256,1
OI0000433,O000214,P0057,2
OI0000434,O000214,P0053,3
OI0000435,O000214,P0142,1
OI0000436,O000215,P0030,1
OI0000437,O000215,P0242,1
OI0000438,O000215,P0013,3
OI0000439,O000215,P0139,1
OI0000440,O000216,P0011,1
OI0000441,O000217,P0013,1
OI0000442,O000217,P0270,1
OI0000443,O000217,P0025,1
OI0000444,O000218,P0018,2
OI0000445,O000219,P0042,1
OI0000446,O000219,P0048,1
OI0000447,O000220,P0273,1
OI0000448,O000220,P0130,2
OI0000449,O000220,P0222,2
OI0000450,O000220,P0182,1
OI0000451,O000221,P0195,1
OI0000452,O000221,P0089,3
OI0000453,O000222,P0121,2
OI0000454,O000222,P0114,1
OI0000455,O000222,P0120,1
OI0000456,O000222,P0184,1
OI0000457,O000223,P0063,1
OI0000458,O000223,P0248,3
OI0000459,O000224,P0003,2
OI0000460,O000224,P0202,1
OI0000461,O000225,P0295,2
OI0000462,O000225,P0233,1
OI0000463,O000226,P0185,1
OI0000464,O000226,P0035,2
OI0000465,O000226,P0005,1
OI0000466,O000227,P0190,2
OI0000467,O000227,P0250,1
OI0000468,O000227,P0012,1
OI0000469,O000227,P0028,2
OI0000470,O000228,P0089,1
OI0000471,O000229,P0243,2
OI0000472,O000229,P0276,2
OI0000473,O000229,P0205,1
OI0000474,O000229,P0155,2
OI0000475,O000230,P0131,1
OI0000476,O000230,P0235,1
OI0000477,O000230,P0109,1
OI0000478,O000231,P0297,1
OI0000479,O000232,P0058,1
OI0000480,O000233,P0180,1
OI0000481,O000233,P0193,2
OI0000482,O000234,P0175,2
OI0000483,O000235,P0239,1
OI0000484,O000235,P0169,1
OI0000485,O000236,P0021,1
OI0000486,O000237,P0151,1
OI0000487,O000238,P0276,2
OI0000488,O000238,P0294,1
OI0000489,O000239,P0097,1
OI0000490,O000239,P0228,1
OI0000491,O000240,P0217,1
OI0000492,O000240,P0101,1
OI0000493,O000241,P0241,1
OI0000494,O000241,P0144,2
OI0000495,O000241,P0264,1
OI0000496,O000242,P0291,2
OI0000497,O000242,P0271,1
OI0000498,O000242,P0142,2
OI0000499,O000242,P0101,2
OI0000500,O000243,P0211,2
OI0000501,O000244,P0076,1
OI0000502,O000245,P0005,1
OI0000503,O000246,P0053,1
OI0000504,O000246,P0192,1
OI0000505,O000246,P0119,1
OI0000506,O000247,P0240,2
OI0000507,O000248,P0300,1
OI0000508,O000248,P0206,1
OI0000509,O000249,P0230,1
OI0000510,O000249,P0013,1
OI0000511,O000249,P0109,1
OI0000512,O000249,P0070,1
OI0000513,O000250,P0146,1
OI0000514,O000250,P0092,3
OI0000515,O000251,P0178,1
OI0000516,O000251,P0024,1
OI0000517,O000252,P0032,1
OI0000518,O000252,P0203,1
OI0000519,O000253,P0262,2
OI0000520,O000254,P0189,1
OI0000521,O000254,P0032,1
OI0000522,O000255,P0203,1
OI0000523,O000256,P0265,1
OI0000524,O000256,P0249,1
OI0000525,O000256,P0121,1
OI0000526,O000256,P0037,1
OI0000527,O000257,P0096,2
OI0000528,O000257,P0101,1
OI0000529,O000257,P0211,1
OI0000530,O000258,P0167,1
OI0000531,O000258,P0241,1
OI0000532,O000258,P0106,1
OI0000533,O000259,P0117,1
OI0000534,O000260,P0144,2
OI0000535,O000260,P0127,1
OI0000536,O000261,P0084,3
OI0000537,O000261,P0296,1
OI0000538,O000262,P0007,1
OI0000539,O000262,P0148,1
OI0000540,O000263,P0140,1
OI0000541,O000263,P0231,1
OI0000542,O000263,P0291,1
OI0000543,O000263,P0097,2
OI0000544,O000264,P0285,2
OI0000545,O000265,P0009,1
OI0000546,O000265,P0247,1
OI0000547,O000266,P0068,2
OI0000548,O000267,P0205,3
OI0000549,O000268,P0264,1
OI0000550,O000268,P0025,1
OI0000551,O000269,P0101,1
OI0000552,O000269,P0197,1
OI0000553,O000270,P0075,2
OI0000554,O000271,P0064,1
OI0000555,O000271,P0115,1
OI0000556,O000272,P0019,1
OI0000557,O000272,P0235,1
OI0000558,O000272,P0161,2
OI0000559,O000273,P0110,2
OI0000560,O000273,P0084,1
OI0000561,O000273,P0298,1
OI0000562,O000274,P0067,1
OI0000563,O000275,P0198,1
OI0000564,O000276,P0022,1
OI0000565,O000276,P0008,1
OI0000566,O000276,P0209,1
OI0000567,O000276,P0114,1
OI0000568,O000277,P0212,1
OI0000569,O000278,P0039,1
OI0000570,O000279,P0117,1
OI0000571,O000280,P0172,1
OI0000572,O000281,P0202,3
OI0000573,O000282,P0253,1
OI0000574,O000282,P0293,1
OI0000575,O000283,P0237,2
OI0000576,O000283,P0258,1
OI0000577,O000284,P0242,1
OI0000578,O000285,P0260,1
OI0000579,O000285,P0058,1
OI0000580,O000285,P0032,3
OI0000581,O000286,P0035,1
OI0000582,O000287,P0219,1
OI0000583,O000287,P0297,1
OI0000584,O000287,P0275,1
OI0000585,O000288,P0086,1
OI0000586,O000288,P0282,1
OI0000587,O000288,P0018,2
OI0000588,O000289,P0049,1
OI0000589,O000289,P0185,1
OI0000590,O000290,P0224,1
OI0000591,O000290,P0065,2
OI0000592,O000291,P0212,1
OI0000593,O000291,P0230,1
OI0000594,O000292,P0035,3
OI0000595,O000293,P0040,1
OI0000596,O000294,P0048,1
OI0000597,O000294,P0120,1
OI0000598,O000294,P0233,1
OI0000599,O000295,P0089,1
OI0000600,O000295,P0080,2
OI0000601,O000296,P0033,1
OI0000602,O000296,P0014,1
OI0000603,O000297,P0003,3
OI0000604,O000297,P0025,1
OI0000605,O000297,P0130,1
OI0000606,O000298,P0296,1
OI0000607,O000299,P0293,1
OI0000608,O000299,P0186,1
OI0000609,O000300,P0072,1
OI0000610,O000300,P0270,1
OI0000611,O000301,P0079,1
OI0000612,O000302,P0260,2
OI0000613,O000302,P0288,2
OI0000614,O000303,P0102,2
OI0000615,O000304,P0266,2
OI0000616,O000305,P0024,2
OI0000617,O000305,P0292,1
OI0000618,O000305,P0083,1
OI0000619,O000305,P0186,1
OI0000620,O000306,P0187,1
OI0000621,O000306,P0252,1
OI0000622,O000306,P0089,2
OI0000623,O000307,P0281,1
OI0000624,O000307,P0283,2
OI0000625,O000308,P0227,1
OI0000626,O000309,P0116,1
OI0000627,O000309,P0127,1
OI0000628,O000309,P0170,1
OI0000629,O000310,P0026,1
OI0000630,O000310,P0158,1
OI0000631,O000310,P0130,1
OI0000632,O000311,P0138,2
OI0000633,O000311,P0252,1
OI0000634,O000312,P0238,3
OI0000635,O000313,P0064,1
OI0000636,O000313,P0207,2
OI0000637,O000314,P0209,1
OI0000638,O000314,P0114,1
OI0000639,O000314,P0290,2
OI0000640,O000315,P0280,2
OI0000641,O000316,P0126,2
OI0000642,O000316,P0183,1
OI0000643,O000317,P0245,2
OI0000644,O000317,P0087,1
OI0000645,O000317,P0187,1
OI0000646,O000317,P0097,1
OI0000647,O000318,P0238,1
OI0000648,O000319,P0238,1
OI0000649,O000319,P0092,3
OI0000650,O000320,P0217,2
OI0000651,O000321,P0144,2
OI0000652,O000321,P0029,2
OI0000653,O000321,P0294,1
OI0000654,O000322,P0060,2
OI0000655,O000322,P0020,1
OI0000656,O000323,P0043,1
OI0000657,O000324,P0189,3
OI0000658,O000324,P0182,1
OI0000659,O000324,P0216,2
OI0000660,O000325,P0238,1
OI0000661,O000326,P0110,1
OI0000662,O000326,P0053,1
OI0000663,O000327,P0001,3
OI0000664,O000327,P0055,2
OI0000665,O000327,P0280,1
OI0000666,O000327,P0163,1
OI0000667,O000328,P0100,2
OI0000668,O000328,P0104,2
OI0000669,O000329,P0174,1
OI0000670,O000329,P0181,1
OI0000671,O000330,P0179,3
OI0000672,O000330,P0019,3
OI0000673,O000331,P0182,1
OI0000674,O000332,P0226,1
OI0000675,O000332,P0122,1
OI0000676,O000333,P0160,1
OI0000677,O000333,P0047,2
OI0000678,O000334,P0076,1
OI0000679,O000334,P0178,1
OI0000680,O000335,P0058,1
OI0000681,O000335,P0049,1
OI0000682,O000336,P0091,1
OI0000683,O000337,P0053,1
OI0000684,O000337,P0035,1
OI0000685,O000338,P0109,1
OI0000686,O000339,P0229,3
OI0000687,O000340,P0289,2
OI0000688,O000340,P0276,1
OI0000689,O000340,P0036,1
OI0000690,O000341,P0021,1
OI0000691,O000341,P0165,1
OI0000692,O000342,P0270,1
OI0000693,O000342,P0220,1
OI0000694,O000342,P0119,1
OI0000695,O000342,P0300,1
OI0000696,O000343,P0239,1
OI0000697,O000343,P0167,1
OI0000698,O000343,P0049,1
OI0000699,O000343,P0243,2
OI0000700,O000344,P0009,2
OI0000701,O000345,P0206,1
OI0000702,O000346,P0196,1
OI0000703,O000346,P0258,1
OI0000704,O000347,P0244,1
OI0000705,O000347,P0168,1
OI0000706,O000348,P0234,1
OI0000707,O000349,P0264,1
OI0000708,O000349,P0185,2
OI0000709,O000350,P0098,3
OI0000710,O000350,P0162,1
OI0000711,O000350,P0177,1
OI0000712,O000351,P0228,2
OI0000713,O000351,P0003,1
OI0000714,O000352,P0249,3
OI0000715,O000352,P0167,1
OI0000716,O000352,P0267,1
OI0000717,O000353,P0182,1
OI0000718,O000353,P0147,3
OI0000719,O000354,P0085,1
OI0000720,O000355,P0081,1
OI0000721,O000356,P0297,2
OI0000722,O000356,P0059,2
OI0000723,O000356,P0098,1
OI0000724,O000357,P0135,2
OI0000725,O000358,P0164,3
OI0000726,O000358,P0100,1
OI0000727,O000359,P0129,1
OI0000728,O000360,P0218,1
OI0000729,O000361,P0127,1
OI0000730,O000361,P0120,1
OI0000731,O000361,P0117,1
OI0000732,O000361,P0045,1
OI0000733,O000362,P0275,3
OI0000734,O000363,P0143,1
OI0000735,O000364,P0102,1
OI0000736,O000364,P0011,2
OI0000737,O000364,P0113,1
OI0000738,O000365,P0116,1
OI0000739,O000366,P0245,1
OI0000740,O000367,P0088,1
OI0000741,O000368,P0170,3
OI0000742,O000368,P0085,1
OI0000743,O000368,P0089,1
OI0000744,O000369,P0252,1
OI0000745,O000369,P0020,1
OI0000746,O000369,P0208,1
OI0000747,O000370,P0103,1
OI0000748,O000370,P0040,1
OI0000749,O000370,P0096,1
OI0000750,O000371,P0252,1
OI0000751,O000371,P0227,1
OI0000752,O000371,P0151,1
OI0000753,O000372,P0189,1
OI0000754,O000373,P0092,2
OI0000755,O000373,P0131,1
OI0000756,O000374,P0271,1
OI0000757,O000374,P0053,3
OI0000758,O000374,P0159,1
OI0000759,O000375,P0165,1
OI0000760,O000375,P0164,1
OI0000761,O000376,P0179,1
OI0000762,O000376,P0106,1
OI0000763,O000377,P0279,1
OI0000764,O000377,P0260,1
OI0000765,O000377,P0287,1
OI0000766,O000378,P0005,1
OI0000767,O000378,P0259,1
OI0000768,O000378,P0024,2
OI0000769,O000379,P0112,1
OI0000770,O000379,P0217,3
OI0000771,O000379,P0236,1
OI0000772,O000380,P0120,1
OI0000773,O000381,P0044,1
OI0000774,O000381,P0059,1
OI0000775,O000381,P0010,1
OI0000776,O000382,P0289,2
OI0000777,O000382,P0284,1
OI0000778,O000383,P0094,1
OI0000779,O000383,P0078,1
OI0000780,O000383,P0181,1
OI0000781,O000383,P0066,2
OI0000782,O000384,P0226,2
OI0000783,O000384,P0265,2
OI0000784,O000385,P0072,2
OI0000785,O000385,P0031,1
OI0000786,O000385,P0134,2
OI0000787,O000386,P0079,1
OI0000788,O000386,P0260,1
OI0000789,O000386,P0229,1
OI0000790,O000387,P0281,1
OI0000791,O000388,P0283,1
OI0000792,O000388,P0175,1
OI0000793,O000389,P0105,1
OI0000794,O000390,P0002,1
OI0000795,O000390,P0103,1
OI0000796,O000390,P0013,3
OI0000797,O000391,P0246,2
OI0000798,O000392,P0082,2
OI0000799,O000393,P0173,2
OI0000800,O000393,P0130,2
OI0000801,O000394,P0052,1
OI0000802,O000394,P0068,1
OI0000803,O000395,P0043,2
OI0000804,O000396,P0050,3
OI0000805,O000396,P0295,2
OI0000806,O000396,P0093,1
OI0000807,O000397,P0093,1
OI0000808,O000397,P0036,2
OI0000809,O000397,P0231,1
OI0000810,O000398,P0198,2
OI0000811,O000399,P0095,1
OI0000812,O000399,P0222,1
OI0000813,O000399,P0245,3
OI0000814,O000400,P0149,1
OI0000815,O000401,P0271,2
OI0000816,O000402,P0203,1
OI0000817,O000402,P0163,1
OI0000818,O000403,P0090,1
OI0000819,O000403,P0080,3
OI0000820,O000403,P0137,3
OI0000821,O000403,P0198,1
OI0000822,O000404,P0129,1
OI0000823,O000405,P0287,2
OI0000824,O000406,P0283,1
OI0000825,O000406,P0047,1
OI0000826,O000407,P0240,1
OI0000827,O000408,P0203,1
OI0000828,O000408,P0206,3
OI0000829,O000409,P0017,1
OI0000830,O000409,P0209,1
OI0000831,O000410,P0276,1
OI0000832,O000410,P0096,1
OI0000833,O000410,P0226,3
OI0000834,O000411,P0092,2
OI0000835,O000411,P0269,1
OI0000836,O000411,P0273,3
OI0000837,O000411,P0074,1
OI0000838,O000412,P0021,2
OI0000839,O000413,P0020,1
OI0000840,O000414,P0184,1
OI0000841,O000415,P0036,1
OI0000842,O000415,P0242,1
OI0000843,O000416,P0167,1
OI0000844,O000416,P0125,1
OI0000845,O000417,P0021,1
OI0000846,O000417,P0169,1
OI0000847,O000418,P0153,1
OI0000848,O000419,P0113,1
OI0000849,O000419,P0146,1
OI0000850,O000420,P0250,1
OI0000851,O000420,P0192,1
OI0000852,O000421,P0030,1
OI0000853,O000421,P0233,1
OI0000854,O000422,P0101,1
OI0000855,O000422,P0276,1
OI0000856,O000423,P0240,1
OI0000857,O000423,P0170,1
OI0000858,O000424,P0027,3
OI0000859,O000424,P0098,1
OI0000860,O000425,P0170,1
OI0000861,O000425,P0171,3
OI0000862,O000425,P0211,1
OI0000863,O000425,P0083,1
OI0000864,O000426,P0300,1
OI0000865,O000426,P0038,2
OI0000866,O000426,P0159,2
OI0000867,O000427,P0258,1
OI0000868,O000427,P0247,1
OI0000869,O000427,P0294,1
OI0000870,O000428,P0171,1
OI0000871,O000429,P0251,2
OI0000872,O000430,P0129,2
