refund_id,order_id,refund_date,refund_amount,refund_reason
R000065,O000825,2026-06-27,1418.32,Damaged Item
R000066,O000844,2026-01-28,172.14,Late Delivery
R000067,O000848,2026-04-05,882.22,Damaged Item
R000068,O000883,2026-06-15,86.03,Damaged Item
R000069,O000896,2025-03-29,139.05,Damaged Item
R000070,O000916,2025-05-07,379.76,Changed Mind
R000071,O000926,2025-12-11,1186.87,Late Delivery
R000072,O000937,2025-09-02,123.75,Late Delivery
R000073,O000975,2026-05-23,1009.27,Changed Mind
R000074,O000980,2026-07-02,328.86,Product Quality
R000075,O000984,2025-09-25,142.85,Product Quality
R000076,O000991,2026-08-26,56.47,Product Quality
R000077,O000997,2025-12-20,207.36,Damaged Item
R000078,O001004,2026-01-18,158.79,Wrong Item
R000079,O001011,2025-10-20,1405.46,Late Delivery
R000080,O001014,2025-10-10,158.08,Late Delivery
R000081,O001029,2026-05-21,618.13,Changed Mind
R000082,O001052,2026-06-15,635.06,Product Quality
R000083,O001060,2026-06-30,405.81,Late Delivery
R000084,O001066,2025-05-18,598.96,Late Delivery
R000085,O001083,2026-04-14,1760.7,Product Quality
R000086,O001089,2025-10-13,117.08,Late Delivery
R000087,O001095,2026-05-20,748.31,Wrong Item
R000088,O001121,2025-08-12,412.71,Late Delivery
R000089,O001122,2026-02-04,841.0,Late Delivery
R000090,O001134,2026-04-20,796.5,Changed Mind
R000091,O001135,2026-06-07,365.85,Product Quality
R000092,O001137,2026-04-23,1166.22,Product Quality
R000093,O001157,2026-02-02,140.33,Product Quality
R000094,O001163,2026-08-24,53.58,Changed Mind
R000095,O001165,2026-08-29,44.26,Late Delivery
R000096,O001172,2026-04-23,336.6,Product Quality
R000097,O001174,2025-09-16,684.64,Product Quality
R000098,O001177,2025-12-19,319.8,Changed Mind
R000099,O001209,2026-02-21,497.06,Product Quality
R000100,O001225,2026-08-29,21.36,Wrong Item
R000101,O001238,2026-07-15,146.31,Wrong Item
R000102,O001240,2026-08-08,104.32,Late Delivery
R000103,O001256,2026-03-05,585.74,Product Quality
R000104,O001271,2026-05-04,238.74,Late Delivery
R000105,O001278,2026-05-08,30.0,Late Delivery
R000106,O001293,2026-08-12,749.19,Product Quality
R000107,O001298,2025-10-15,342.42,Late Delivery
R000108,O001345,2026-06-11,523.86,Damaged Item
R000109,O001365,2026-06-07,588.6,Wrong Item
R000110,O001372,2026-07-02,126.1,Product Quality
R000111,O001378,2026-07-06,114.95,Product Quality
R000112,O001382,2025-11-29,1185.54,Product Quality
R000113,O001385,2026-01-02,527.41,Late Delivery
R000114,O001410,2026-07-08,191.08,Product Quality
R000115,O001419,2026-05-08,743.78,Changed Mind
R000116,O001433,2026-05-03,27.22,Product Quality
R000117,O001448,2025-12-05,1165.74,Damaged Item
R000118,O001449,2025-07-26,218.02,Damaged Item
R000119,O001462,2026-02-12,301.38,Late Delivery
R000120,O001466,2025-06-10,899.2,Product Quality
R000121,O001475,2026-08-31,886.42,Late Delivery
R000122,O001480,2026-07-29,150.89,Changed Mind
R000123,O001521,2025-12-05,976.32,Late Delivery
R000124,O001525,2025-04-30,567.43,Product Quality
R000125,O001532,2026-04-30,604.89,Product Quality
R000126,O001546,2026-01-30,243.43,Changed Mind
R000127,O001569,2026-04-29,138.86,Product Quality
R000128,O001582,2026-08-21,310.58,Late Delivery
R000129,O001595,2025-06-29,909.85,Product Quality
R000130,O001601,2026-04-18,758.97,Damaged Item
R000131,O001606,2026-07-12,602.77,Product Quality
R000132,O001619,2026-08-29,1422.16,Changed Mind
R000133,O001623,2026-03-02,369.39,Damaged Item
R000134,O001629,2026-06-28,428.39,Damaged Item
R000135,O001632,2026-01-15,288.76,Product Quality
R000136,O001633,2026-01-12,80.26,Changed Mind
R000137,O001635,2025-03-16,116.47,Late Delivery
R000138,O001653,2026-05-07,483.92,Late Delivery
R000139,O001655,2025-06-10,488.97,Damaged Item
R000140,O001656,2026-06-30,254.9,Damaged Item
R000141,O001668,2026-06-13,416.14,Damaged Item
R000142,O001669,2026-09-02,135.06,Late Delivery
R000143,O001679,2026-02-22,1081.79,Changed Mind
R000144,O001693,2026-03-16,437.87,Late Delivery
R000145,O001707,2025-09-14,792.67,Product Quality
R000146,O001719,2025-10-25,864.18,Damaged Item
R000147,O001721,2026-05-18,140.11,Product Quality
R000148,O001731,2026-03-10,501.25,Late Delivery
R000149,O001738,2025-10-20,721.54,Product Quality
R000150,O001764,2026-08-22,455.15,Late Delivery
R000151,O001777,2025-09-17,162.13,Late Delivery
R000152,O001794,2026-08-13,96.88,Late Delivery
R000153,O001805,2026-05-23,41.26,Changed Mind
R000154,O001829,2026-01-10,330.62,Changed Mind
R000155,O001831,2025-09-02,772.17,Late Delivery
R000156,O001844,2025-12-01,187.76,Changed Mind
R000157,O001849,2026-05-15,41.28,Damaged Item
R000158,O001852,2026-06-17,967.93,Changed Mind
R000159,O001871,2025-11-22,2081.68,Product Quality
R000160,O001878,2025-08-26,212.02,Wrong Item
R000161,O001882,2026-06-09,1497.78,Damaged Item
R000162,O001903,2025-05-31,602.01,Changed Mind
R000163,O001914,2026-04-29,181.96,Late Delivery
R000164,O001927,2026-01-31,163.31,Damaged Item
R000165,O001935,2025-10-11,461.15,Product Quality
R000166,O001953,2026-07-24,870.93,Product Quality
R000167,O001955,2025-09-02,333.49,Late Delivery
R000168,O001971,2025-06-30,65.98,Changed Mind
R000169,O001976,2026-07-15,193.78,Damaged Item
R000170,O002000,2026-08-08,209.44,Changed Mind
R000171,O002010,2026-01-17,586.34,Product Quality
R000172,O002016,2026-07-06,32.97,Damaged Item
R000173,O002018,2025-09-11,563.74,Late Delivery
R000174,O002031,2025-07-01,168.8,Damaged Item
R000175,O002040,2026-06-01,511.59,Late Delivery
R000176,O002054,2026-04-23,102.17,Product Quality
R000177,O002058,2026-08-26,95.54,Damaged Item
R000178,O002078,2026-01-21,839.98,Damaged Item
R000179,O002080,2026-05-17,333.26,Changed Mind
R000180,O002105,2026-04-08,424.04,Damaged Item
R000181,O002122,2026-07-27,284.33,Wrong Item
R000182,O002128,2026-04-03,121.38,Product Quality
R000183,O002129,2025-05-26,146.36,Changed Mind
R000184,O002132,2026-05-25,1487.08,Changed Mind
R000185,O002168,2026-04-16,653.67,Damaged Item
R000186,O002169,2025-11-29,341.25,Changed Mind
R000187,O002170,2026-04-13,375.28,Product Quality
R000188,O002179,2026-05-11,305.23,Damaged Item
R000189,O002199,2026-05-31,85.44,Damaged Item
R000190,O002202,2025-08-09,889.14,Late Delivery
R000191,O002209,2026-06-19,48.16,Damaged Item
R000192,O002222,2026-02-27,414.43,Late Delivery
R000193,O002229,2025-08-15,87.41,Damaged Item
R000194,O002235,2026-06-03,201.62,Late Delivery
R000195,O002247,2025-11-22,46.23,Damaged Item
R000196,O002264,2025-07-20,16.81,Changed Mind
R000197,O002294,2025-12-24,350.17,Product Quality
R000198,O002295,2026-03-11,275.22,Late Delivery
R000199,O002296,2026-08-13,41.69,Damaged Item
R000200,O002304,2025-09-16,755.52,Wrong Item
R000201,O002305,2025-10-27,373.8,Damaged Item
R000202,O002316,2026-03-18,193.64,Product Quality
R000203,O002324,2026-05-25,472.48,Changed Mind
R000204,O002340,2025-10-13,88.37,Changed Mind
R000205,O002341,2026-08-18,508.88,Wrong Item
R000206,O002346,2026-01-22,91.36,Damaged Item
R000207,O002347,2026-05-07,81.86,Changed Mind
R000208,O002354,2026-07-11,970.58,Changed Mind
R000209,O002360,2026-06-24,835.42,Late Delivery
R000210,O002363,2026-08-06,1238.97,Wrong Item
R000211,O002375,2026-04-05,1055.64,Damaged Item
R000212,O002378,2025-09-12,1266.47,Damaged Item
R000213,O002380,2025-12-05,41.83,Product Quality
R000214,O002387,2026-03-10,279.0,Product Quality
R000215,O002399,2026-07-31,221.13,Product Quality
R000216,O002410,2026-08-19,572.24,Changed Mind
R000217,O002429,2025-06-15,390.88,Changed Mind
R000218,O002430,2026-01-23,26.39,Late Delivery
R000219,O002444,2026-07-08,125.16,Changed Mind
R000220,O002451,2026-08-25,343.82,Damaged Item
R000221,O002467,2026-04-28,211.08,Damaged Item
R000222,O002480,2026-07-16,1057.39,Damaged Item
R000223,O002503,2026-02-23,194.56,Product Quality
R000224,O002511,2026-01-31,158.73,Late Delivery
R000225,O002529,2026-01-03,610.53,Wrong Item
R000226,O002543,2026-03-09,547.3,Changed Mind
R000227,O002561,2026-06-17,210.01,Product Quality
R000228,O002586,2026-08-11,834.98,Wrong Item
R000229,O002610,2026-02-25,233.36,Product Quality
R000230,O002617,2025-10-03,109.21,Wrong Item
R000231,O002628,2026-04-17,128.5,Wrong Item
R000232,O002638,2026-01-27,124.48,Damaged Item
R000233,O002646,2026-02-02,323.7,Product Quality
R000234,O002658,2026-02-07,105.0,Late Delivery
R000235,O002676,2026-08-28,58.96,Late Delivery
R000236,O002690,2025-12-12,1568.53,Damaged Item
R000237,O002692,2026-02-27,851.56,Wrong Item
R000238,O002694,2026-06-11,1384.13,Late Delivery
R000239,O002698,2026-06-14,466.22,Damaged Item
R000240,O002717,2026-03-05,284.35,Late Delivery
R000241,O002720,2026-08-31,215.84,Damaged Item
R000242,O002730,2026-02-17,464.62,Damaged Item
R000243,O002746,2025-09-19,431.79,Product Quality
R000244,O002750,2026-07-21,251.01,Damaged Item
R000245,O002756,2026-07-07,178.83,Late Delivery
R000246,O002774,2026-01-04,154.64,Damaged Item
R000247,O002777,2026-07-10,689.89,Damaged Item
R000248,O002787,2026-05-17,138.45,Damaged Item
R000249,O002815,2026-08-16,1594.71,Damaged Item
R000250,O002820,2026-04-23,646.62,Product Quality
R000251,O002828,2026-07-26,1721.96,Product Quality
R000252,O002850,2026-05-31,1801.28,Late Delivery
R000253,O002887,2026-06-02,509.81,Late Delivery
R000254,O002895,2026-05-22,207.32,Wrong Item
R000255,O002912,2025-08-08,96.74,Late Delivery
R000256,O002928,2025-09-05,930.62,Wrong Item
R000257,O002933,2026-01-13,285.6,Late Delivery
R000258,O002936,2026-07-31,212.92,Wrong Item
R000259,O002942,2026-04-27,257.37,Late Delivery
R000260,O002951,2025-07-31,1192.25,Product Quality
R000261,O002984,2026-04-29,187.79,Late Delivery
R000262,O002991,2026-06-28,1363.27,Damaged Item
R000263,O003003,2026-07-17,417.96,Product Quality
R000264,O003009,2025-07-15,35.88,Late Delivery
R000265,O003012,2025-07-11,603.95,Product Quality
R000266,O003014,2025-08-13,376.21,Product Quality
R000267,O003015,2026-08-22,248.37,Late Delivery
R000268,O003024,2025-05-04,21.26,Wrong Item
R000269,O003047,2026-06-06,544.79,Late Delivery
R000270,O003053,2026-07-24,266.06,Late Delivery
R000271,O003055,2026-04-12,277.38,Product Quality
R000272,O003089,2026-07-14,628.66,Changed Mind
R000273,O003098,2026-03-26,1213.55,Late Delivery
R000274,O003111,2026-08-13,1022.44,Damaged Item
R000275,O003142,2026-07-18,1148.14,Wrong Item
R000276,O003153,2026-01-04,284.88,Damaged Item
R000277,O003179,2026-01-16,179.37,Changed Mind
R000278,O003198,2025-08-20,137.66,Changed Mind
R000279,O003202,2025-06-03,145.19,Product Quality
R000280,O003206,2026-07-08,307.41,Product Quality
R000281,O003207,2026-08-16,1929.25,Changed Mind
R000282,O003213,2026-02-12,545.08,Wrong Item
R000283,O003249,2026-05-21,232.4,Changed Mind
R000284,O003251,2025-09-29,14.73,Product Quality
R000285,O003264,2025-03-27,104.19,Product Quality
R000286,O003280,2026-04-10,109.1,Damaged Item
R000287,O003297,2026-07-04,359.38,Late Delivery
R000288,O003300,2026-04-14,354.58,Product Quality
R000289,O003302,2026-05-01,322.4,Late Delivery
R000290,O003307,2026-01-14,162.07,Changed Mind
R000291,O003328,2026-04-04,930.66,Product Quality
R000292,O003336,2026-08-04,426.84,Damaged Item
R000293,O003345,2026-04-21,383.8,Product Quality
R000294,O003347,2026-06-10,27.08,Changed Mind
R000295,O003349,2026-05-16,231.32,Product Quality
R000296,O003364,2026-06-16,98.75,Product Quality
R000297,O003371,2025-11-07,425.05,Late Delivery
R000298,O003376,2026-04-25,1496.53,Damaged Item
R000299,O003384,2026-05-30,146.72,Damaged Item
R000300,O003388,2026-04-30,564.22,Wrong Item
R000301,O003390,2026-03-23,691.15,Product Quality
R000302,O003399,2026-07-23,111.22,Product Quality
R000303,O003421,2026-04-05,48.58,Damaged Item
R000304,O003430,2026-07-28,98.36,Damaged Item
R000305,O003435,2026-08-06,437.87,Wrong Item
R000306,O003440,2026-01-30,442.36,Damaged Item
R000307,O003448,2025-11-15,107.92,Changed Mind
R000308,O003464,2026-01-14,1414.65,Wrong Item
R000309,O003471,2026-04-21,145.83,Late Delivery
R000310,O003489,2026-03-21,930.29,Damaged Item
R000311,O003515,2026-05-05,460.26,Changed Mind
R000312,O003545,2026-08-11,108.55,Product Quality
R000313,O003549,2026-03-06,116.78,Wrong Item
R000314,O003563,2026-06-06,82.22,Damaged Item
R000315,O003567,2026-04-18,125.77,Damaged Item
R000316,O003572,2026-06-07,1357.26,Changed Mind
R000317,O003585,2026-05-19,455.74,Product Quality
R000318,O003601,2026-08-21,127.28,Product Quality
R000319,O003604,2025-12-15,131.8,Damaged Item
R000320,O003612,2026-04-02,69.69,Wrong Item
R000321,O003622,2025-08-16,93.12,Changed Mind
R000322,O003629,2026-02-27,76.87,Late Delivery
R000323,O003636,2025-11-19,38.39,Damaged Item
R000324,O003641,2026-07-10,501.63,Product Quality
R000325,O003653,2026-02-16,2070.48,Damaged Item
R000326,O003664,2025-07-15,73.56,Damaged Item
R000327,O003665,2026-03-29,872.14,Damaged Item
R000328,O003668,2025-10-31,417.15,Damaged Item
R000329,O003671,2026-06-12,1977.84,Late Delivery
R000330,O003710,2026-04-12,506.5,Changed Mind
R000331,O003747,2026-06-04,221.32,Damaged Item
R000332,O003761,2026-02-27,259.93,Product Quality
R000333,O003765,2026-06-19,1394.93,Wrong Item
R000334,O003766,2026-08-05,209.16,Late Delivery
R000335,O003780,2026-04-21,259.67,Damaged Item
R000336,O003789,2025-11-26,465.82,Damaged Item
R000337,O003793,2026-07-04,193.6,Damaged Item
R000338,O003837,2025-09-17,1299.64,Changed Mind
R000339,O003861,2025-06-02,1083.45,Changed Mind
R000340,O003871,2025-05-15,399.92,Changed Mind
R000341,O003923,2025-12-20,69.66,Product Quality
R000342,O003939,2026-03-07,198.98,Product Quality
R000343,O003948,2025-12-27,219.56,Wrong Item
R000344,O003951,2025-07-04,468.05,Product Quality
R000345,O003975,2026-07-08,171.18,Damaged Item
R000346,O003981,2026-07-30,155.06,Product Quality
R000347,O003983,2026-08-06,2.68,Late Delivery
R000348,O004000,2026-06-24,968.01,Damaged Item
R000349,O004011,2026-04-21,558.56,Wrong Item
R000350,O004022,2025-10-28,721.87,Changed Mind
R000351,O004032,2026-08-20,173.63,Damaged Item
R000352,O004049,2026-03-23,479.3,Changed Mind
R000353,O004056,2025-04-05,604.4,Damaged Item
R000354,O004066,2025-12-16,88.98,Damaged Item
R000355,O004074,2026-08-20,711.59,Damaged Item
R000356,O004075,2026-01-31,114.06,Product Quality
R000357,O004076,2026-07-21,25.84,Damaged Item
R000358,O004085,2025-10-02,1120.96,Changed Mind
R000359,O004106,2026-02-21,97.64,Changed Mind
R000360,O004125,2026-01-07,97.97,Changed Mind
R000361,O004131,2026-09-05,271.61,Late Delivery
R000362,O004151,2025-08-04,502.23,Wrong Item
R000363,O004153,2026-08-04,61.24,Wrong Item
R000364,O004154,2025-11-27,252.76,Product Quality
R000365,O004159,2026-04-26,926.97,Late Delivery
R000366,O004161,2026-07-24,559.06,Damaged Item
R000367,O004178,2026-07-09,501.3,Product Quality
R000368,O004186,2026-08-15,638.94,Wrong Item
R000369,O004188,2026-07-09,100.5,Late Delivery
R000370,O004226,2025-10-23,570.89,Damaged Item
R000371,O004237,2026-03-20,224.56,Wrong Item
R000372,O004240,2025-08-18,543.7,Changed Mind
R000373,O004241,2026-03-24,934.82,Damaged Item
R000374,O004254,2026-01-22,117.99,Changed Mind
R000375,O004260,2025-11-29,218.68,Product Quality
R000376,O004281,2026-02-04,9.49,Wrong Item
R000377,O004283,2026-06-19,922.51,Late Delivery
R000378,O004296,2026-03-29,143.36,Product Quality
R000379,O004325,2025-11-02,2424.46,Late Delivery
R000380,O004344,2026-07-27,1096.29,Changed Mind
R000381,O004355,2025-11-05,832.95,Late Delivery
R000382,O004359,2025-11-13,323.38,Late Delivery
R000383,O004370,2026-02-16,70.0,Damaged Item
R000384,O004372,2026-09-01,1795.05,Changed Mind
R000385,O004376,2026-06-10,1250.27,Damaged Item
R000386,O004388,2026-04-24,179.98,Late Delivery
R000387,O004400,2026-02-03,186.96,Changed Mind
R000388,O004402,2025-05-23,878.11,Damaged Item
R000389,O004414,2026-04-26,457.87,Product Quality
R000390,O004420,2026-05-12,818.18,Wrong Item
R000391,O004434,2025-11-02,792.76,Damaged Item
R000392,O004442,2025-07-06,103.38,Changed Mind
R000393,O004446,2026-07-29,77.25,Late Delivery
R000394,O004462,2025-10-15,5.26,Changed Mind
R000395,O004468,2026-01-01,823.59,Product Quality
R000396,O004469,2026-06-19,226.58,Product Quality
R000397,O004488,2026-07-20,444.6,Product Quality
R000398,O004509,2026-05-20,94.46,Product Quality
R000399,O004511,2025-12-30,17.95,Late Delivery
R000400,O004528,2025-03-17,228.8,Changed Mind
R000401,O004555,2026-07-05,158.94,Product Quality
R000402,O004556,2025-05-26,36.26,Product Quality
R000403,O004565,2025-08-18,153.29,Changed Mind
R000404,O004573,2026-04-28,302.6,Late Delivery
R000405,O004576,2026-04-01,1550.46,Late Delivery
R000406,O004587,2026-03-10,253.09,Damaged Item
R000407,O004592,2026-01-31,1133.54,Changed Mind
R000408,O004611,2025-07-13,152.28,Late Delivery
R000409,O004618,2026-07-11,599.82,Product Quality
R000410,O004638,2026-03-15,123.9,Changed Mind
R000411,O004648,2025-05-29,418.42,Wrong Item
R000412,O004665,2026-05-20,768.54,Damaged Item
R000413,O004679,2026-03-23,1082.25,Product Quality
R000414,O004689,2026-06-15,221.36,Changed Mind
R000415,O004692,2025-05-04,406.0,Late Delivery
R000416,O004695,2026-08-26,493.34,Product Quality
R000417,O004698,2026-03-19,148.43,Damaged Item
R000418,O004737,2026-08-30,219.44,Product Quality
R000419,O004742,2026-07-31,168.73,Changed Mind
R000420,O004749,2025-11-24,949.24,Changed Mind
R000421,O004763,2026-04-24,262.8,Damaged Item
R000422,O004778,2026-04-07,680.59,Wrong Item
R000423,O004781,2026-07-14,109.43,Late Delivery
R000424,O004785,2026-09-02,212.52,Late Delivery
R000425,O004790,2026-07-02,0.61,Damaged Item
R000426,O004797,2026-07-08,396.52,Damaged Item
R000427,O004809,2026-06-13,548.75,Wrong Item
R000428,O004838,2026-07-28,232.4,Late Delivery
R000429,O004848,2025-12-04,309.2,Wrong Item
R000430,O004855,2026-01-24,47.99,Late Delivery
R000431,O004868,2026-08-04,718.74,Product Quality
R000432,O004871,2025-11-05,43.7,Changed Mind
R000433,O004896,2025-12-12,114.23,Late Delivery
R000434,O004915,2026-06-15,1044.82,Product Quality
R000435,O004933,2026-07-22,1349.13,Changed Mind
R000436,O004953,2026-07-15,278.63,Product Quality
R000437,O004975,2025-12-02,1068.45,Changed Mind
R000438,O004976,2026-06-21,722.02,Wrong Item
R000439,O004985,2026-04-20,735.02,Damaged Item
R000440,O005006,2025-07-10,667.45,Changed Mind
R000441,O005038,2026-04-09,431.8,Product Quality
R000442,O005039,2025-06-07,8.41,Product Quality
R000443,O005042,2025-10-14,403.08,Damaged Item
R000444,O005059,2025-12-18,331.97,Late Delivery
R000445,O005071,2026-01-26,1719.68,Product Quality
R000446,O005073,2026-04-27,361.24,Late Delivery
R000447,O005074,2026-02-01,144.32,Changed Mind
R000448,O005081,2026-04-30,154.88,Wrong Item
R000449,O005089,2025-08-02,25.96,Product Quality
R000450,O005095,2025-11-09,348.33,Damaged Item
R000451,O005102,2026-02-01,41.0,Product Quality
R000452,O005133,2025-05-18,90.25,Product Quality
R000453,O005144,2026-09-02,106.53,Wrong Item
R000454,O005146,2025-12-08,782.49,Late Delivery
R000455,O005167,2026-02-19,149.28,Late Delivery
R000456,O005211,2026-05-06,235.4,Late Delivery
R000457,O005215,2025-08-19,107.62,Late Delivery
R000458,O005224,2026-04-08,960.58,Late Delivery
R000459,O005226,2026-01-07,372.33,Changed Mind
R000460,O005234,2025-12-02,725.79,Changed Mind
R000461,O005246,2026-08-04,630.16,Late Delivery
R000462,O005258,2025-10-03,256.52,Late Delivery
R000463,O005262,2026-06-01,347.19,Changed Mind
R000464,O005265,2025-09-23,154.81,Wrong Item
R000465,O005267,2026-05-10,1163.79,Product Quality
R000466,O005280,2026-04-29,134.8,Damaged Item
R000467,O005286,2025-11-28,59.38,Damaged Item
R000468,O005297,2026-01-25,110.24,Changed Mind
R000469,O005306,2026-05-12,218.26,Late Delivery
R000470,O005307,2026-05-07,629.83,Wrong Item
R000471,O005310,2026-06-11,777.38,Late Delivery
R000472,O005311,2026-04-23,219.26,Product Quality
R000473,O005337,2026-04-27,478.07,Damaged Item
R000474,O005340,2025-11-30,273.71,Product Quality
R000475,O005342,2026-05-22,1013.41,Wrong Item
R000476,O005358,2025-08-04,203.98,Changed Mind
R000477,O005369,2025-09-09,1568.25,Late Delivery
R000478,O005375,2026-02-17,634.71,Wrong Item
R000479,O005380,2025-07-21,748.1,Product Quality
R000480,O005389,2026-05-31,440.86,Changed Mind
R000481,O005392,2026-05-13,375.57,Damaged Item
R000482,O005398,2026-05-18,99.62,Late Delivery
R000483,O005404,2026-06-26,288.69,Late Delivery
R000484,O005421,2025-09-21,476.27,Product Quality
R000485,O005426,2025-06-18,888.98,Late Delivery
R000486,O005452,2026-08-09,336.02,Wrong Item
R000487,O005462,2026-02-10,597.47,Late Delivery
R000488,O005479,2026-04-08,1922.26,Product Quality
R000489,O005480,2026-07-17,277.29,Changed Mind
R000490,O005500,2026-02-02,427.04,Damaged Item
R000491,O005511,2026-05-22,50.1,Changed Mind
R000492,O005530,2025-12-26,114.36,Damaged Item
R000493,O005543,2026-08-08,150.06,Damaged Item
R000494,O005553,2026-03-09,390.98,Damaged Item
R000495,O005563,2026-06-14,1515.64,Damaged Item
R000496,O005569,2026-08-20,652.52,Changed Mind
R000497,O005572,2026-08-18,830.02,Wrong Item
R000498,O005575,2025-11-04,925.08,Product Quality
R000499,O005611,2025-10-07,22.51,Wrong Item
R000500,O005619,2026-03-15,651.68,Damaged Item
R000501,O005622,2025-11-18,1284.09,Damaged Item
R000502,O005624,2026-07-31,735.92,Product Quality
R000503,O005630,2026-05-07,389.93,Product Quality
R000504,O005693,2025-06-22,176.92,Product Quality
R000505,O005701,2025-12-06,677.46,Damaged Item
R000506,O005714,2026-01-09,91.65,Changed Mind
R000507,O005720,2026-06-11,126.25,Late Delivery
R000508,O005730,2025-10-21,851.59,Product Quality
R000509,O005740,2026-05-15,245.48,Product Quality
R000510,O005756,2025-12-10,416.5,Product Quality
R000511,O005764,2026-03-04,261.92,Wrong Item
R000512,O005767,2026-04-05,1281.86,Wrong Item
R000513,O005769,2026-06-16,753.19,Damaged Item
R000514,O005794,2026-07-29,895.38,Changed Mind
R000515,O005801,2025-08-01,239.47,Product Quality
R000516,O005803,2025-11-07,182.02,Product Quality
R000517,O005814,2025-11-26,34.78,Product Quality
R000518,O005815,2026-06-19,266.15,Late Delivery
R000519,O005845,2026-01-17,357.99,Late Delivery
R000520,O005859,2026-06-11,305.33,Late Delivery
R000521,O005869,2026-04-13,1265.77,Late Delivery
R000522,O005881,2026-06-26,318.32,Product Quality
R000523,O005883,2026-05-14,952.67,Damaged Item
R000524,O005894,2025-05-27,847.6,Damaged Item
R000525,O005915,2025-03-04,280.38,Late Delivery
R000526,O005919,2025-07-25,160.51,Late Delivery
R000527,O005924,2026-06-27,226.72,Product Quality
R000528,O005927,2025-11-20,846.85,Changed Mind
R000529,O005939,2026-04-08,193.12,Late Delivery
R000530,O005940,2026-05-19,247.41,Wrong Item
R000531,O005941,2026-08-01,240.04,Damaged Item
R000532,O005971,2026-06-28,74.74,Damaged Item
R000533,O005986,2026-02-25,613.46,Product Quality
R000534,O005992,2026-01-02,994.23,Wrong Item
R000535,O005997,2026-06-21,486.88,Changed Mind
R000536,O006015,2026-04-17,92.22,Late Delivery
R000537,O006037,2025-12-20,123.83,Late Delivery
R000538,O006043,2025-09-08,305.33,Damaged Item
R000539,O006081,2026-07-16,404.96,Damaged Item
